file_id,topic_id,adu_id,is_major_claim,stance,text,amr_penman
micro_b001,waste_separation,a5,True,pro,We Berliners should take the chance and become pioneers in waste separation!,"# ::snt We Berliners should take the chance and become pioneers in waste separation!
(r / recommend-01
      :ARG1 (a / and
            :op1 (c / chance-01
                  :ARG0 (w / we
                        :ARG0-of (h / have-org-role-91
                              :ARG1 (c2 / city
                                    :name (n / name
                                          :op1 ""Berlin"")))))
            :op2 (b / become-01
                  :ARG1 w
                  :ARG2 (p / pioneer-01
                        :ARG0 w
                        :ARG1 (s / separate-01
                              :ARG1 (w2 / waste))))))"
micro_b002,higher_dog_poo_fines,a3,True,pro,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.","# ::snt Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.
(c / cause-01
      :ARG1 (m / measure-02
            :ARG1 (o / or
                  :op1 (p / person
                        :ARG0-of (o2 / own-01
                              :ARG1 (d / dog))
                        :ARG0-of (n / neglect-01))
                  :op2 (p2 / person
                        :mod (l / lazy))
                  :op3 (p3 / person
                        :ARG0-of (o3 / own-01
                              :ARG1 d)
                        :ARG0-of (t / think-01
                              :polarity -
                              :ARG1-of (s / simple-02))))
            :ARG1-of (r / right-02)))"
micro_b003,health_insurance_cover_complementary_medicine,a1,True,con,Health insurance companies should not cover treatment in complementary medicine,"# ::snt Health insurance companies should not cover treatment in complementary medicine
(r / recommend-01
      :ARG1 (c / cover-01
            :polarity -
            :ARG0 (c2 / company
                  :ARG0-of (ii / insure-02
                        :ARG1 (h / health)))
            :ARG1 (t / treat-03
                  :ARG3 (m / medicine
                        :ARG1-of (c3 / complement-01)))))"
micro_b004,public_broadcasting_fees_on_demand,a3,True,con,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,","# ::snt Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,
(h / have-concession-91
      :ARG1 (r / recommend-01
            :ARG1 (c / contribute-01
                  :ARG0 (e / everybody)
                  :ARG2 (f / fund-01
                        :ARG1 (b / broadcast-01
                              :ARG1-of (p / public-02)))
                  :manner (m / measure-01
                        :ARG1-of (e2 / equal-01)))))"
micro_b005,stricter_regulation_of_intelligence_services,a1,True,pro,Intelligence services must urgently be regulated more tightly by parliament;,"# ::snt Intelligence services must urgently be regulated more tightly by parliament;
(o / obligate-01
      :ARG2 (r / regulate-01
            :ARG0 (g / government-organization
                  :name (n / name
                        :op1 ""Parliament""))
            :ARG1 (s / service
                  :mod (ii / intelligence))
            :manner (u / urgent)
            :ARG1-of (h / have-degree-91
                  :ARG2 (t / tight-05
                        :ARG1 r)
                  :ARG3 (m / more))))"
micro_b006,introduce_capital_punishment,a1,True,con,The death penalty is a legal means that as such is not practicable in Germany.,"# ::snt The death penalty is a legal means that as such is not practicable in Germany.
(m / mean
      :ARG1-of (l / legal-02)
      :domain (p / penalize-01
            :manner (d / die-01))
      :ARG0-of (c / cause-01
            :ARG1 (p2 / possible-01
                  :polarity -
                  :ARG1 (p3 / practicable-00
                        :ARG1 p)
                  :location (c2 / country
                        :name (n / name
                              :op1 ""Germany"")))))"
micro_b007,higher_dog_poo_fines,a3,True,pro,That's why causing such obstacles must to be more urgently punished.,"# ::snt That's why causing such obstacles must to be more urgently punished.
(c / cause-01
      :ARG0 (t / that)
      :ARG1 (o / obligate-01
            :ARG2 (p / punish-01
                  :ARG2 c
                  :ARG1 (o2 / obstacle
                        :mod (s / such)))
            :manner (u / urgent
                  :ARG2-of (h / have-degree-91
                        :ARG1 p
                        :ARG3 (m / more)))))"
micro_b008,over_the_counter_morning_after_pill,a5,True,con,That's why a visit to the doctor and professional advice should remain mandatory.,"# ::snt That's why a visit to the doctor and professional advice should remain mandatory.
(c / cause-01
      :ARG0 (t / that)
      :ARG1 (r / recommend-01
            :ARG1 (r2 / remain-01
                  :ARG1 (a / and
                        :op1 (v / visit-01
                              :ARG1 (d / doctor))
                        :op2 (a2 / advise-01
                              :manner (p / professional)))
                  :ARG3 (m / mandatory))))"
micro_b009,cap_rent_increases,a1,True,pro,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,"# ::snt It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
(a / and
      :op1 (f / fair-01
            :polarity -
            :ARG1 (o / obligate-01
                  :ARG1 (p / person
                        :ARG0-of (r / rent-01)
                        :ARG1-of (n / new-01))
                  :ARG2 (p2 / pay-01
                        :ARG0 p
                        :ARG1 (m / monetary-quantity
                              :ARG2-of (r2 / rent-01)
                              :ARG1-of (h / have-degree-91
                                    :ARG2 (h2 / high-02
                                          :ARG1 m)
                                    :ARG3 (m2 / more
                                          :quant (m3 / much))
                                    :ARG4 m
                                    :ARG2-of (r3 / rent-01
                                          :ARG2 (p3 / person
                                                :ARG0-of (r4 / reside-01)
                                                :time (p4 / previous))))))))
      :op2 (p5 / possible-01
            :polarity -
            :ARG1 (j / justify-01
                  :ARG1 o)))"
micro_b010,health_insurance_cover_complementary_medicine,a1,True,pro,"Alternative treatments should be subsidized in the same way as conventional treatments,","# ::snt Alternative treatments should be subsidized in the same way as conventional treatments,
(r / recommend-01
      :ARG1 (s / subsidize-01
            :ARG1 (t / treat-03
                  :mod (a / alternative))
            :manner (w / way
                  :ARG1-of (s2 / same-01
                        :ARG2 (s3 / subsidize-01
                              :ARG1 (t2 / treat-03
                                    :mod (c / conventional)))))))"
micro_b011,higher_dog_poo_fines,a1,True,pro,For dog dirt left on the pavement dog owners should by all means pay a bit more.,"# ::snt For dog dirt left on the pavement dog owners should by all means pay a bit more.
(r / recommend-01
      :ARG1 (p / pay-01
            :ARG0 (p2 / person
                  :ARG0-of (o / own-01
                        :ARG1 (d / dog)))
            :ARG1 (m / more
                  :quant (b / bit))
            :ARG3 (d2 / dirt
                  :part-of d
                  :ARG1-of (l / leave-12
                        :location (p3 / pavement)))
            :mod (b2 / by-all-means)))"
micro_b012,school_uniforms,a4,True,pro,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.","# ::snt A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.
(a / and
      :op1 (o / out-06
            :ARG0 (o2 / outfit
                  :ARG1-of (d / design-01
                        :ARG1-of (s / simple-02))
                  :ARG1-of (p / practical-03))
            :ARG1 (ii / image
                  :mod (o3 / overall)
                  :mod (v / visual)
                  :poss (s2 / school))
            :mod (e / even))
      :op2 (a2 / attend-02
            :ARG1 (a3 / and
                  :op1 (c / character
                        :poss (p2 / person
                              :ARG0-of (s3 / study-01)))
                  :op2 (a4 / achieve-01
                        :ARG0 p2))
            :ARG1-of (d2 / direct-02)
            :ARG1-of (c2 / contrast-01
                  :ARG2 (p3 / power-01
                        :polarity -
                        :ARG1 p2
                        :ARG2 (b / buy-01
                              :ARG0 p2)))))"
micro_b013,health_insurance_cover_complementary_medicine,a1,True,pro,Health insurance companies should naturally cover alternative medical treatments.,"# ::snt Health insurance companies should naturally cover alternative medical treatments.
(r / recommend-01
      :ARG1 (c / cover-01
            :ARG0 (c2 / company
                  :ARG0-of (ii / insure-02
                        :ARG1 (h / health)))
            :ARG1 (t / treat-03
                  :mod (m / medicine)
                  :mod (a / alternative))
            :ARG1-of (n / natural-03)))"
micro_b014,public_broadcasting_fees_on_demand,a1,True,pro,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.","# ::snt Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.
(r / recommend-01
      :ARG1 (p / pay-01
            :ARG0 (p2 / person
                  :mod (t / that)
                  :mod (o / only))
            :ARG1 (f / fee
                  :mod (l / license
                        :mod (t2 / television)
                        :mod (r2 / radio)))
            :ARG3 (w / watch-01
                  :ARG0 p2
                  :ARG1 (a / and
                        :op1 (p3 / publication
                              :name (n / name
                                    :op1 ""ArD""))
                        :op2 (p4 / publication
                              :name (n2 / name
                                    :op1 ""ZDF""))
                        :op3 (c / company
                              :name (n3 / name
                                    :op1 ""Arte""))
                        :op4 (e / et-cetera))
                  :ARG1-of (r3 / real-04)))
      :ARG1-of (a2 / actual-02))"
micro_b015,allow_shops_to_open_on_holidays_and_sundays,a1,True,pro,"Well, I as an employee find it very practical to be able to shop at least on weekends.","# ::snt Well, I as an employee find it very practical to be able to shop at least on weekends.
(f / find-02
      :ARG0 (ii / i
            :ARG1-of (e / employ-01))
      :ARG1 (p / practical-03
            :ARG1 (p2 / possible-01
                  :ARG1 (s / shop-01
                        :ARG0 ii
                        :time (w / weekend
                              :mod (a / at-least))))
            :degree (v / very))
      :mod (w2 / well))"
micro_b016,increase_weight_of_BA_thesis_in_final_grade,a5,True,pro,It would therefore be wise to adjust the required effort for final theses accordingly.,"# ::snt It would therefore be wise to adjust the required effort for final theses accordingly.
(w / wise
      :domain (a / adjust-01
            :ARG1 (e / effort-01
                  :ARG1-of (r / require-01)
                  :purpose (t / thesis
                        :mod (f / final)))
            :manner (a2 / accordingly))
      :ARG1-of (c / cause-01))"
micro_b017,cap_rent_increases,a1,True,pro,Rent prices should be limited by a cap when there's a change of tenant.,"# ::snt Rent prices should be limited by a cap when there's a change of tenant.
(r / recommend-01
      :ARG1 (l / limit-01
            :ARG0 (c / cap-01)
            :ARG1 (p / price-01
                  :ARG1-of (r2 / rent-01))
            :time (c2 / change-01
                  :ARG1 (t / tenant))))"
micro_b018,health_insurance_cover_complementary_medicine,a5,True,con,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.,"# ::snt Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
(ii / infer-01
      :ARG1 (r / recommend-01
            :ARG1 (r2 / reimburse-01
                  :ARG0 (c / company
                        :ARG0-of (ii2 / insure-02))
                  :ARG2 (t / treat-03
                        :polarity -
                        :ARG0 (p / person
                              :mod (n / naturopath))
                        :ARG1-of (p2 / prove-01
                              :polarity -)
                        :ARG1-of (r3 / recognize-01
                              :polarity -)))))"
micro_b019,buy_tax_evader_data_from_dubious_sources,a6,True,con,Tax data that are not made available for free should therefore not be acquired by the state.,"# ::snt Tax data that are not made available for free should therefore not be acquired by the state.
(r / recommend-01
      :ARG1 (a / acquire-01
            :polarity -
            :ARG0 (s / state)
            :ARG1 (d / data
                  :topic (t / tax-01)
                  :ARG2-of (a2 / available-02
                        :ARG1-of (m / make-02
                              :polarity -)
                        :ARG3-of (f / free-03)))))"
micro_b020,make_video_games_olympic,a6,True,con,computer games should also not be recognized as Olympic events.,"# ::snt computer games should also not be recognized as Olympic events.
(r / recommend-01
      :ARG1 (r2 / recognize-02
            :polarity -
            :ARG1 (g / game
                  :mod (c / computer))
            :ARG2 (e / event
                  :mod g
                  :name (n / name
                        :op1 ""Olympic""
                        :op2 ""Games"")))
      :mod (a / also))"
micro_b021,charge_tuition_fees,a1,True,con,Tuition fees should not be charged in Germany.,"# ::snt Tuition fees should not be charged in Germany.
(r / recommend-01
      :ARG1 (c / charge-01
            :polarity -
            :ARG1 (f / fee
                  :mod (t / tuition))
            :location (c2 / country
                  :name (n / name
                        :op1 ""Germany""))))"
micro_b022,keep_retirement_at_63,a1,True,con,"No, the retirement age should be raised to 65 again.","# ::snt No, the retirement age should be raised to 65 again.
(m / multi-sentence
      :snt1 (n / no)
      :snt2 (r / recommend-01
            :ARG1 (r2 / raise-01
                  :ARG1 (a / age-01
                        :ARG2 (r3 / retire-01))
                  :ARG4 (t / temporal-quantity
                        :quant 65
                        :unit (y / year))
                  :mod (a2 / again))))"
micro_b023,introduce_capital_punishment,a3,True,con,That's why Germany should not introduce capital punishment!,"# ::snt That's why Germany should not introduce capital punishment!
(c / cause-01
      :ARG0 (t / that)
      :ARG1 (r / recommend-01
            :ARG1 (ii / introduce-02
                  :polarity -
                  :ARG0 (c2 / country
                        :name (n / name
                              :op1 ""Germany""))
                  :ARG1 (p / punish-01
                        :mod (c3 / capital)))))"
micro_b024,cap_rent_increases,a1,True,pro,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"# ::snt A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
(o / obligate-01
      :ARG2 (p / put-01
            :ARG1 (s / stop-01)
            :ARG2 (r / rent-01
                  :mod (e / exorbitant))
            :manner (ii / impose-01
                  :ARG1 (l / limit-01
                        :ARG1 (ii2 / increase-01
                              :ARG1 (r2 / rent-01)))
                  :time (c / change-01
                        :ARG1 (r3 / residence)))))"
