filename,type,text
micro_b001.xml,objections,But still Germany produces way too much rubbish
micro_b001.xml,objections,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
micro_b002.xml,objections,"but once they have to dig into their pockets, their laziness will sure vanish!"
micro_b002.xml,objections,"Of course, first they'd actually need to be caught in the act by public order officers,"
micro_b003.xml,objections,unless the promised effect and its medical benefit have been concretely proven.
micro_b003.xml,objections,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
micro_b003.xml,objections,Yet this very proof is lacking in most cases.
micro_b003.xml,objections,Patients do often report relief of their complaints after such treatments.
micro_b004.xml,objections,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
micro_b004.xml,objections,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
micro_b005.xml,objections,"Granted, those concern primarily the British and American intelligence services,"
micro_b005.xml,objections,but the German services evidently do collaborate with them closely.
micro_b006.xml,objections,this is precisely the crime that we should not repay with the same.
micro_b006.xml,objections,"Even if many people think that a murderer has already decided on the life or death of another person,"
micro_b007.xml,objections,Yet then they misjudge its impact on road traffic.
micro_b007.xml,objections,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
micro_b008.xml,objections,But it's not that simple.
micro_b008.xml,objections,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
micro_b009.xml,objections,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.
micro_b009.xml,objections,Clearly the landlord has to pay for some repairs before a new lease.
micro_b011.xml,objections,"but once you step in it, their excrement seems to stick rather persistently to your soles."
micro_b011.xml,objections,"Indeed it's not the fault of the animals,"
micro_b012.xml,objections,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments."
micro_b012.xml,objections,or regard it as too much of an intervention into the leeway of students and parents to make decisions.
micro_b012.xml,objections,"Some may find the idea of a school uniform anachronistic,"
micro_b013.xml,objections,"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,"
micro_b013.xml,objections,yet it's precisely their positive effect when accompanying conventional 'western' medical therapies that's been demonstrated as beneficial.
micro_b014.xml,objections,It is in fact good to support sophisticated programming through fees.
micro_b015.xml,objections,"Sure, other people have to work in the shops on the weekend,"
micro_b015.xml,objections,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.
micro_b016.xml,objections,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
micro_b016.xml,objections,"However, the effort required for the individual equally weighted modules differs strongly."
micro_b017.xml,objections,"Landlords may want to earn as much as possible,"
micro_b017.xml,objections,"and many, consistent with market principles, are prepared to pay higher rents,"
micro_b018.xml,objections,The choice of an attending physician is at the discretion of the patient.
micro_b019.xml,objections,Those who do or try to should be held accountable if at all possible.
micro_b020.xml,objections,"On the other hand, the events have a culturally determined character."
micro_b022.xml,objections,"People are getting older on average,"
micro_b026.xml,objections,Their treatment methods and successes are not amply researched or proven.
