topic,arg_A,arg_B,text_A,text_B,type_A,type_B,sbert_score
EU_influence_on_political_events_in_Ukraine,a4,a3,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","Although Ukraine is a European country,",premise,objection,0.8016
EU_influence_on_political_events_in_Ukraine,a1,a4,The EU should exert influence on the political events in Ukraine.,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.",claim,premise,0.6743
EU_influence_on_political_events_in_Ukraine,a1,a3,The EU should exert influence on the political events in Ukraine.,"Although Ukraine is a European country,",claim,objection,0.6718
EU_influence_on_political_events_in_Ukraine,a6,a2,the EU should intervene right away.,the EU should not intervene in local politics.,claim,claim,0.6606
EU_influence_on_political_events_in_Ukraine,a1,a6,The EU should exert influence on the political events in Ukraine.,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.",claim,objection,0.6176
EU_influence_on_political_events_in_Ukraine,a1,a6,The EU should exert influence on the political events in Ukraine.,the EU should intervene right away.,claim,claim,0.6051
EU_influence_on_political_events_in_Ukraine,a3,a4,"Although Ukraine is a European country,","and the Ukrainian opposition is primarily interested in installing a robust democracy,",objection,objection,0.5609
EU_influence_on_political_events_in_Ukraine,a1,a2,The EU should exert influence on the political events in Ukraine.,the EU should not intervene in local politics.,claim,claim,0.5468
EU_influence_on_political_events_in_Ukraine,a1,a4,The EU should exert influence on the political events in Ukraine.,"and the Ukrainian opposition is primarily interested in installing a robust democracy,",claim,objection,0.5466
EU_influence_on_political_events_in_Ukraine,a6,a4,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.","and the Ukrainian opposition is primarily interested in installing a robust democracy,",objection,objection,0.5456
EU_influence_on_political_events_in_Ukraine,a6,a3,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.","Although Ukraine is a European country,",objection,objection,0.5379
EU_influence_on_political_events_in_Ukraine,a4,a6,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.",premise,objection,0.5266
EU_influence_on_political_events_in_Ukraine,a4,a1,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","Despite the severe clashes in Kiev, which at times have threatened to escalate,",premise,objection,0.5009
EU_influence_on_political_events_in_Ukraine,a4,a5,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.","Since, however, in Russia besides gas and oil only propaganda and corruption rule,",objection,premise,0.5008
EU_influence_on_political_events_in_Ukraine,a4,a4,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","and the Ukrainian opposition is primarily interested in installing a robust democracy,",premise,objection,0.4913
EU_influence_on_political_events_in_Ukraine,a1,a1,The EU should exert influence on the political events in Ukraine.,"Despite the severe clashes in Kiev, which at times have threatened to escalate,",claim,objection,0.487
EU_influence_on_political_events_in_Ukraine,a1,a6,A violation of international law should be more than enough to consider a reaction!,the EU should intervene right away.,premise,claim,0.4829
EU_influence_on_political_events_in_Ukraine,a1,a3,"Despite the severe clashes in Kiev, which at times have threatened to escalate,","Although Ukraine is a European country,",objection,objection,0.4721
EU_influence_on_political_events_in_Ukraine,a4,a5,"and the Ukrainian opposition is primarily interested in installing a robust democracy,",possible supporters face a considerably stronger opponent in the intervention of Russia in local politics.,objection,premise,0.4555
EU_influence_on_political_events_in_Ukraine,a1,a4,"Despite the severe clashes in Kiev, which at times have threatened to escalate,","and the Ukrainian opposition is primarily interested in installing a robust democracy,",objection,objection,0.4495
EU_influence_on_political_events_in_Ukraine,a3,a4,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,","and the Ukrainian opposition is primarily interested in installing a robust democracy,",objection,objection,0.4484
EU_influence_on_political_events_in_Ukraine,a2,a2,"The developments in that conflict should not be left to former Cold War opponents alone,","Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.",premise,premise,0.426
EU_influence_on_political_events_in_Ukraine,a6,a1,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.","Despite the severe clashes in Kiev, which at times have threatened to escalate,",objection,objection,0.4153
EU_influence_on_political_events_in_Ukraine,a5,a4,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,","and the Ukrainian opposition is primarily interested in installing a robust democracy,",premise,objection,0.4104
EU_influence_on_political_events_in_Ukraine,a5,a5,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,",possible supporters face a considerably stronger opponent in the intervention of Russia in local politics.,premise,premise,0.4064
EU_influence_on_political_events_in_Ukraine,a5,a3,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,","Although Ukraine is a European country,",premise,objection,0.406
EU_influence_on_political_events_in_Ukraine,a1,a5,The EU should exert influence on the political events in Ukraine.,"Indeed one could argue that a country has to deal with internal political changes itself,",claim,objection,0.4059
EU_influence_on_political_events_in_Ukraine,a3,a1,for that course can only lead to escalation in some form.,"Despite the severe clashes in Kiev, which at times have threatened to escalate,",premise,objection,0.3979
EU_influence_on_political_events_in_Ukraine,a6,a5,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.",possible supporters face a considerably stronger opponent in the intervention of Russia in local politics.,objection,premise,0.3887
EU_influence_on_political_events_in_Ukraine,a6,a5,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.","Since, however, in Russia besides gas and oil only propaganda and corruption rule,",objection,premise,0.3877
EU_influence_on_political_events_in_Ukraine,a1,a5,"Despite the severe clashes in Kiev, which at times have threatened to escalate,",possible supporters face a considerably stronger opponent in the intervention of Russia in local politics.,objection,premise,0.3842
