filename,type,text
micro_b001.xml,claims,We Berliners should take the chance and become pioneers in waste separation!
micro_b001.xml,objections,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
micro_b001.xml,objections,But still Germany produces way too much rubbish
micro_b002.xml,claims,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
micro_b002.xml,objections,"but once they have to dig into their pockets, their laziness will sure vanish!"
micro_b002.xml,objections,"Of course, first they'd actually need to be caught in the act by public order officers,"
micro_b003.xml,claims,Health insurance companies should not cover treatment in complementary medicine
micro_b003.xml,objections,unless the promised effect and its medical benefit have been concretely proven.
micro_b003.xml,objections,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
micro_b003.xml,objections,Patients do often report relief of their complaints after such treatments.
micro_b003.xml,objections,Yet this very proof is lacking in most cases.
micro_b004.xml,claims,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
micro_b004.xml,objections,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
micro_b004.xml,objections,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
micro_b005.xml,claims,Intelligence services must urgently be regulated more tightly by parliament;
micro_b005.xml,objections,but the German services evidently do collaborate with them closely.
micro_b005.xml,objections,"Granted, those concern primarily the British and American intelligence services,"
micro_b006.xml,claims,The death penalty is a legal means that as such is not practicable in Germany.
micro_b006.xml,objections,this is precisely the crime that we should not repay with the same.
micro_b006.xml,objections,"Even if many people think that a murderer has already decided on the life or death of another person,"
micro_b007.xml,claims,That's why causing such obstacles must to be more urgently punished.
micro_b007.xml,objections,Yet then they misjudge its impact on road traffic.
micro_b007.xml,objections,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
micro_b008.xml,claims,That's why a visit to the doctor and professional advice should remain mandatory.
micro_b008.xml,objections,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
micro_b008.xml,objections,But it's not that simple.
micro_b009.xml,claims,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
micro_b009.xml,objections,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.
micro_b009.xml,objections,Clearly the landlord has to pay for some repairs before a new lease.
micro_b010.xml,claims,"Alternative treatments should be subsidized in the same way as conventional treatments,"
micro_b011.xml,claims,For dog dirt left on the pavement dog owners should by all means pay a bit more.
micro_b011.xml,objections,"but once you step in it, their excrement seems to stick rather persistently to your soles."
micro_b011.xml,objections,"Indeed it's not the fault of the animals,"
micro_b012.xml,claims,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
micro_b012.xml,objections,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments."
micro_b012.xml,objections,or regard it as too much of an intervention into the leeway of students and parents to make decisions.
micro_b012.xml,objections,"Some may find the idea of a school uniform anachronistic,"
micro_b013.xml,claims,Health insurance companies should naturally cover alternative medical treatments.
micro_b013.xml,objections,"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,"
micro_b013.xml,objections,yet it's precisely their positive effect when accompanying conventional 'western' medical therapies that's been demonstrated as beneficial.
micro_b014.xml,claims,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
micro_b014.xml,objections,It is in fact good to support sophisticated programming through fees.
micro_b015.xml,claims,"Well, I as an employee find it very practical to be able to shop at least on weekends."
micro_b015.xml,objections,"Sure, other people have to work in the shops on the weekend,"
