file_id,topic_id,adu_id,is_major_claim,stance,text,amr_penman
micro_b001,waste_separation,a1,False,pro,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time.","# ::snt Yes, it's annoying and cumbersome to separate your rubbish properly all the time.
(a / and
      :op1 (a2 / annoy-01
            :ARG0 (s / separate-01
                  :ARG0 (y / you)
                  :ARG1 (r / rubbish
                        :poss y)
                  :manner (p / proper)))
      :op2 (c / cumbersome
            :domain s)
      :time (t / time
            :mod (a3 / all)))"
micro_b001,waste_separation,a2,False,pro,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.,"# ::snt Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
(a / and
      :op1 (s / stink-01
            :ARG1 (b / bag
                  :quant 3
                  :ARG0-of (b2 / bin-01)
                  :ARG1-of (d / differ-02))
            :location (k / kitchen)
            :mod (a2 / away))
      :op2 (o / obligate-01
            :ARG2 (s2 / sort-01
                  :ARG1 b
                  :ARG2 (b3 / bin-01
                        :mod (w / wheel)
                        :ARG1-of (d2 / differ-02)))))"
micro_b001,waste_separation,a3,False,pro,But still Germany produces way too much rubbish,"# ::snt But still Germany produces way too much rubbish
(c / contrast-01
      :ARG2 (p / produce-01
            :ARG0 (c2 / country
                  :name (n / name
                        :op1 ""Germany""))
            :ARG1 (r / rubbish
                  :ARG1-of (h / have-quant-91
                        :ARG2 (m / much)
                        :ARG3 (t / too
                              :degree (w / way))))
            :time (s / still)))"
micro_b001,waste_separation,a4,False,pro,and too many resources are lost when what actually should be separated and recycled is burnt.,"# ::snt and too many resources are lost when what actually should be separated and recycled is burnt.
(a / and
      :op2 (l / lose-02
            :ARG1 (r / resource
                  :ARG1-of (h / have-quant-91
                        :ARG2 (m / many)
                        :ARG3 (t / too)))
            :time (b / burn-01
                  :ARG1 (t2 / thing
                        :ARG1-of (s / separate-01
                              :ARG1-of (r2 / recommend-01)
                              :ARG1-of (a2 / actual-02))
                        :ARG1-of (r3 / recycle-01)))))"
micro_b002,higher_dog_poo_fines,a1,False,pro,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.,"# ::snt One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
(p / possible-01
      :ARG1 (m / move-01
            :ARG1 (o / one)
            :mod (h / hardly)
            :location (o2 / or
                  :op1 (c / city
                        :name (n / name
                              :op1 ""Friedrichshain""))
                  :op2 (c2 / city
                        :name (n2 / name
                              :op1 ""Neukölln"")))
            :time (d / day
                  :mod (t / this))
            :manner (s / scan-01
                  :polarity -
                  :ARG0 o
                  :ARG1 (g / ground)
                  :ARG2 (d2 / dirt
                        :source (d3 / dog))
                  :mod (p2 / permanent))))"
micro_b002,higher_dog_poo_fines,a2,False,pro,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.,"# ::snt And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
(a / and
      :op2 (o / obligate-01
            :ARG1 (y / you
                  :part (s / sole))
            :ARG2 (s2 / scrape-01
                  :ARG0 y
                  :ARG1 (t / thing
                        :ARG1-of (r / remain-01))
                  :ARG2 (o2 / off
                        :op1 s)
                  :manner (p / painstaking))
            :time (a2 / and
                  :op1 (s3 / strike-01
                        :ARG1 (l / luck
                              :ARG1-of (b / bad-07)))
                  :op2 (s4 / step-01
                        :ARG0 y
                        :ARG2 (m / mine
                              :ARG1-of (ii / include-91
                                    :ARG2 (m2 / mine
                                          :mod (l2 / land)
                                          :quant (m3 / many))))))))"
micro_b002,higher_dog_poo_fines,a4,False,pro,"Of course, first they'd actually need to be caught in the act by public order officers,","# ::snt Of course, first they'd actually need to be caught in the act by public order officers,
(n / need-01
      :li 1
      :ARG0 (t / they)
      :ARG1 (c / catch-02
            :ARG0 (p / person
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (o / order
                              :ARG1-of (p2 / public-02))
                        :ARG2 (o2 / officer)))
            :ARG1 t
            :ARG2 (a / act))
      :ARG1-of (a2 / actual-02)
      :mod (o3 / of-course))"
micro_b002,higher_dog_poo_fines,a5,False,pro,"but once they have to dig into their pockets, their laziness will sure vanish!","# ::snt but once they have to dig into their pockets, their laziness will sure vanish!
(c / contrast-01
      :ARG2 (v / vanish-01
            :ARG1 (l / lazy
                  :domain (t / they))
            :ARG1-of (s / sure-02)
            :time (o / obligate-01
                  :ARG1 t
                  :ARG2 (d / dig-01
                        :ARG0 t
                        :ARG2 (p / pocket
                              :poss t)))))"
micro_b003,health_insurance_cover_complementary_medicine,a2,False,con,unless the promised effect and its medical benefit have been concretely proven.,"# ::snt unless the promised effect and its medical benefit have been concretely proven.
(h / have-condition-91
      :ARG2 (p / prove-01
            :polarity -
            :ARG1 (a / and
                  :op1 (a2 / affect-01
                        :ARG2-of (p2 / promise-01))
                  :op2 (b / benefit-01
                        :ARG1 (ii / it)
                        :mod (m / medicine)))
            :ARG1-of (c / concrete-02)))"
micro_b003,health_insurance_cover_complementary_medicine,a3,False,con,Yet this very proof is lacking in most cases.,"# ::snt Yet this very proof is lacking in most cases.
(h / have-concession-91
      :ARG1 (l / lack-01
            :ARG0 (t / thing
                  :ARG0-of (p / prove-01)
                  :mod (t2 / this)
                  :mod (v / very))
            :time (c / case-04
                  :quant (m / most))))"
micro_b003,health_insurance_cover_complementary_medicine,a4,False,con,Patients do often report relief of their complaints after such treatments.,"# ::snt Patients do often report relief of their complaints after such treatments.
(r / report-01
      :ARG0 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG2 (p2 / patient)))
      :ARG1 (r2 / relieve-01
            :ARG0 p
            :ARG1 (c / complain-01
                  :ARG0 p)
            :time (a / after
                  :op1 (t / treat-03
                        :ARG1 p
                        :mod (s / such))))
      :frequency (o / often))"
micro_b003,health_insurance_cover_complementary_medicine,a5,False,con,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.","# ::snt But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.
(c / contrast-01
      :ARG2 (r / recommend-01
            :ARG1 (s / spend-01
                  :ARG1 (t / therapy
                        :location-of (k / know-01
                              :ARG0 (o / one)
                              :manner (c2 / certainty)))
                  :ARG3 (f / fund))
            :condition (a / as-long-as
                  :op1 (c3 / clear-06
                        :polarity -
                        :ARG1 (t2 / thing
                              :manner-of (w / work-09
                                    :ARG1 (t3 / this)))))))"
micro_b004,public_broadcasting_fees_on_demand,a1,False,con,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,","# ::snt Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,
(w / worth-01
      :polarity -
      :ARG1 (p / program
            :quant (n / number)
            :ARG1-of (b / broadcast-01
                  :ARG1-of (p2 / public-02)))
      :ARG2 (f / fee
            :instrument-of (l / licence))
      :mod (o / of-course))"
micro_b004,public_broadcasting_fees_on_demand,a2,False,con,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.","# ::snt and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences.
(a / and
      :op2 (ii / interest-01
            :ARG1 (a2 / audience
                  :mod (c / certain))
            :ARG2 (o / other
                  :example (a3 / and
                        :op1 (w / work-of-art
                              :name (n / name
                                    :op1 ""Musikantenstadl""))
                        :op2 (w2 / work-of-art
                              :name n
                              :op1 "" soap opera""))))
      :mod (o2 / only))"
micro_b004,public_broadcasting_fees_on_demand,a4,False,con,for we need general and independent media.,"# ::snt for we need general and independent media.
(c / cause-01
      :ARG1 (n / need-01
            :ARG0 (w / we)
            :ARG1 (m / media
                  :ARG1-of (g / general-02)
                  :ARG0-of (d / depend-01
                        :polarity -))))"
micro_b004,public_broadcasting_fees_on_demand,a5,False,con,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.,"# ::snt After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
(w / want-01
      :ARG0 (w2 / we)
      :ARG1 (g / get-01
            :polarity -
            :ARG0 w2
            :ARG1 (v / view-01
                  :ARG0 w2
                  :ARG1 (w3 / world))
            :manner (o / or
                  :op1 (l / lens
                        :poss (g2 / government-organization
                              :ARG0-of (g3 / govern-01)))
                  :op2 (l2 / lens
                        :poss (e / entrepreneur
                              :mod (m / media)
                              :mod (r / rich)))))
      :mod (a / after-all))"
micro_b005,stricter_regulation_of_intelligence_services,a2,False,pro,this should be clear to everyone after the disclosures of Edward Snowden.,"# ::snt this should be clear to everyone after the disclosures of Edward Snowden.
(r / recommend-01
      :ARG1 (c / clear-06
            :ARG1 (t / this)
            :ARG2 (e / everyone)
            :time (a / after
                  :op1 (d / disclose-01
                        :ARG1 (p / person
                              :name (n / name
                                    :op1 ""Edward""
                                    :op2 ""Snowden""))))))"
micro_b005,stricter_regulation_of_intelligence_services,a3,False,pro,"Granted, those concern primarily the British and American intelligence services,","# ::snt Granted, those concern primarily the British and American intelligence services,
(g / grant-01
      :ARG1 (c / concern-02
            :ARG0 (t / that)
            :ARG1 (a / and
                  :op1 (s / service
                        :mod (ii / intelligence)
                        :mod (c2 / country
                              :name (n / name
                                    :op1 ""Great""
                                    :op2 ""Britain"")))
                  :op2 (s2 / service
                        :mod (ii2 / intelligence)
                        :mod (c3 / country
                              :name (n2 / name
                                    :op1 ""America""))))
            :mod (p / primary)))"
