topic_id,file_id,claims
school_uniforms,micro_b038,School uniforms should be introduced in our schools again.
school_uniforms,micro_b030,School uniforms should not be worn in our schools.
school_uniforms,micro_b012,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
charge_tuition_fees,micro_b021,Tuition fees should not be charged in Germany.
charge_tuition_fees,micro_b034,Tuition fees should not generally be charged by universities.
charge_tuition_fees,micro_b048,Therefore universities should not charge tuition fees in Germany.
charge_tuition_fees,micro_k002,Actually it would be justified if all German universities charged tuition fees.
charge_tuition_fees,micro_k012,German universities should on no account charge tuition fees.
charge_tuition_fees,micro_b028,The universities in Germany should not under any circumstances charge tuition fees.
health_insurance_cover_complementary_medicine,micro_b003,Health insurance companies should not cover treatment in complementary medicine
health_insurance_cover_complementary_medicine,micro_b013,Health insurance companies should naturally cover alternative medical treatments.
health_insurance_cover_complementary_medicine,micro_b026,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.
health_insurance_cover_complementary_medicine,micro_b018,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
health_insurance_cover_complementary_medicine,micro_b010,"Alternative treatments should be subsidized in the same way as conventional treatments,"
health_insurance_cover_complementary_medicine,micro_b053,That's why the statutory health insurance companies should not cover such treatments.
health_insurance_cover_complementary_medicine,micro_b035,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
health_insurance_cover_complementary_medicine,micro_b025,A reduction in the amount of chemically produced medication per person is most certainly desirable.
higher_dog_poo_fines,micro_k008,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,micro_b002,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
higher_dog_poo_fines,micro_k024,"Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,micro_b007,That's why causing such obstacles must to be more urgently punished.
higher_dog_poo_fines,micro_k031,Increasing penalties is therefore the right way.
higher_dog_poo_fines,micro_b061,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
higher_dog_poo_fines,micro_b011,For dog dirt left on the pavement dog owners should by all means pay a bit more.
higher_dog_poo_fines,micro_b032,There should be a higher fine for dog dirt on the pavement.
higher_dog_poo_fines,micro_b040,There should be much higher fines for dog dirt left on pavements.
cap_rent_increases,micro_b059,A cap on rent increases upon tenant change is therefore not to be supported.
cap_rent_increases,micro_k011,"If there must be rent increases, there should also be a cap to avoid nasty surprises."
cap_rent_increases,micro_k021,A constant increase in rent upon a change of tenants hence cannot be desired by society.
cap_rent_increases,micro_b017,Rent prices should be limited by a cap when there's a change of tenant.
