filename,type,text
micro_b001.xml,premises,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
micro_b002.xml,premises,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
micro_b002.xml,premises,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
micro_b004.xml,premises,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
micro_b004.xml,premises,for we need general and independent media.
micro_b005.xml,premises,this should be clear to everyone after the disclosures of Edward Snowden.
micro_b005.xml,premises,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
micro_b006.xml,premises,"For one thing, inviolable human dignity is anchored in our constitution,"
micro_b006.xml,premises,and furthermore no one may have the right to adjudicate upon the death of another human being.
micro_b007.xml,premises,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
micro_b007.xml,premises,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
micro_b008.xml,premises,Perhaps a new life was already created that night.
micro_b009.xml,premises,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.
micro_b010.xml,premises,"since both methods can lead to the prevention, mitigation or cure of an illness."
micro_b010.xml,premises,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
micro_b010.xml,premises,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
micro_b010.xml,premises,since there is a chance of recovery.
micro_b013.xml,premises,Besides many general practitioners offer such counselling and treatments in parallel anyway -
micro_b014.xml,premises,Also the scripts are often copied off each other.
micro_b014.xml,premises,"Curiously, however, there are still adverts and product placements on the public channels."
micro_b014.xml,premises,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?"
micro_b015.xml,premises,"Plus, the state wants me to spend my money,"
micro_b016.xml,premises,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
micro_b016.xml,premises,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
micro_b017.xml,premises,Gentrification destroys entire districts and their culture.
micro_b017.xml,premises,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
micro_b018.xml,premises,Yet the funds of the health insurance companies are a common benefit for all premium payers.
micro_b018.xml,premises,They should not be spent on personal preferences without proven use.
micro_b019.xml,premises,It is desirable that no one channels his or her wealth past the tax authorities.
micro_b019.xml,premises,"Besides, the trading of information is obviously driven by greed of gain."
micro_b019.xml,premises,"Having said that, state funds are often wasted on nonsensical investments,"
micro_b019.xml,premises,so that this ideal appears unworthy of support in many ways.
micro_b020.xml,premises,Olympic events are rooted in old traditions.
micro_b020.xml,premises,"Since however skat, chess etc. are not accepted as Olympic events,"
micro_b020.xml,premises,Yet sports are usually associated with physical training.
micro_b021.xml,premises,That's costly!
micro_b021.xml,premises,Studying and taking higher degrees must remain a basic right for everyone.
micro_b021.xml,premises,Fees result in longer durations of studies.
micro_b022.xml,premises,And we'd have to offer more leisure activities for seniors.
micro_b022.xml,premises,but they are not sicker and not duller because of it.
micro_b022.xml,premises,Without them we'd forgo a great deal of collected experience.
micro_b023.xml,premises,No human being or human committee should again be given the permission to rule over 'life or death'.
micro_b023.xml,premises,Courts are also subject to human error.
micro_b023.xml,premises,A door must remain open for making amends.
micro_b023.xml,premises,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
micro_b024.xml,premises,For affordable living space is scarce.
micro_b024.xml,premises,because the size of the desired accommodation changes over the course of a lifetime.
micro_b024.xml,premises,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
micro_b024.xml,premises,"Plus everyone has to move approx. 3-10 times in his or her life,"
micro_b025.xml,premises,"From time immemorial humans have had complementary medicine,"
micro_b025.xml,premises,The patient could learn to be more aware of his or her body and to treat it more healthily.
micro_b025.xml,premises,and it has not generally been ineffective.
micro_b025.xml,premises,and conventional medicine will also hardly suffer.
micro_b025.xml,premises,"This will do little damage to the pharmaceutical industry,"
micro_b026.xml,premises,"and, moreover, entails significant risks and side effects."
micro_b026.xml,premises,"Also conventional medicine is in many cases not successful,"
micro_b026.xml,premises,which ultimately also saves costs for conventional treatments and medication.
micro_b027.xml,premises,From a Christian and humanistic perspective it is not allowed to kill someone.
micro_b027.xml,premises,Moreover it turns out time and again that innocent people are also convicted and executed.
micro_b028.xml,premises,This would impede or prevent access to those who are financially weaker.
micro_b028.xml,premises,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
micro_b028.xml,premises,The anticipated objectives of tuition fees can be achieved by other means.
micro_b028.xml,premises,There are other instruments to motivate tighter discipline while studying.
micro_b029.xml,premises,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not."
micro_b030.xml,premises,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
micro_b031.xml,premises,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
micro_b031.xml,premises,since no one can claim the right to rule over the life or death of another human being.
micro_b031.xml,premises,Capital punishment will not deter anyone else from an atrocity.
micro_b032.xml,premises,"If you dispose of the waste then and there yourself, no fine is necessary."
micro_b032.xml,premises,Dog dirt is disgusting and a hygiene problem.
micro_b032.xml,premises,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
micro_b033.xml,premises,as the area is right in the middle of the city (capital).
micro_b033.xml,premises,The size of the field allows for both housing and generous open space.
micro_b034.xml,premises,"Universities are for all citizens, independent of their finances."
micro_b034.xml,premises,"Education and training are fundamental rights which the state, the society must provide."
micro_b034.xml,premises,"If a university lacks the funds, sponsors must be found."
micro_b035.xml,premises,Complementary medicine includes treatments with proven health benefits in many areas
micro_b035.xml,premises,"which are often less costly than medication from conventional medicine, which are also paid for after all."
micro_b035.xml,premises,Often natural treatments do not put as much of a strain on the patient.
micro_b035.xml,premises,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
micro_b036.xml,premises,The performance often required by players is considerable and by all means comparable to physical efforts.
micro_b036.xml,premises,"Various skills are promoted and required by different games,"
micro_b037.xml,premises,Even with state-of-the-art contraceptives there can be mistakes and problems
micro_b037.xml,premises,and an unwanted pregnancy can place a significant strain on both the parents and the child for the rest of their lives.
micro_b038.xml,premises,"This provides an at least superficial equalization in our heavily economically oriented society,"
micro_b038.xml,premises,which may reduce discrimination of financially and/or socially disadvantaged children.
micro_b038.xml,premises,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
micro_b039.xml,premises,"The developments in that conflict should not be left to former Cold War opponents alone,"
micro_b039.xml,premises,for that course can only lead to escalation in some form.
micro_b039.xml,premises,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with."
micro_b040.xml,premises,Stepping in dog dirt is gross and absolutely ruins your day
micro_b040.xml,premises,"due to the dirt, the stench and the often considerable effort to get rid of it."
micro_b040.xml,premises,"Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate."
micro_b041.xml,premises,for it jeopardizes the secrecy and security of confidential data and informants.
micro_b041.xml,premises,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
micro_b041.xml,premises,"Besides, intelligence services intervene massively in the privacy of citizens"
micro_b041.xml,premises,and must therefore be monitored more closely to prevent abuse.
micro_b042.xml,premises,"Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects."
micro_b042.xml,premises,"Since the impact of the morning-after pill is so massive, particularly due to its abortive effect,"
micro_b044.xml,premises,It is an asset for the economy.
micro_b044.xml,premises,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
micro_b044.xml,premises,Air traffic is extremely environmentally unfriendly.
micro_b045.xml,premises,"By purchasing illegally acquired tax data of citizens, the state is not only turning itself into a felon, but it is paying criminals, too."
micro_b045.xml,premises,"Besides, the purchase of such CDs is unnecessary today,"
micro_b045.xml,premises,"as, due to changed terms of business, many banks urge their customers to turn themselves in."
micro_b046.xml,premises,Intelligence services apparently enjoy indiscriminate liberties.
micro_b046.xml,premises,No one can follow their activities in detail.
micro_b047.xml,premises,The morning-after pill has a number of side effects.
micro_b048.xml,premises,Every German citizen has a right to education.
micro_b048.xml,premises,"Quality at universities has its price,"
micro_b049.xml,premises,But one can make occasional mistakes in the thesis.
micro_b049.xml,premises,"If this carries more weight, many good individual assignments done during the course of study may be obscured."
micro_b049.xml,premises,A good grade for the thesis also significantly depends on the supervision of a dedicated teacher.
micro_b050.xml,premises,"Germany's aging society is undergoing demographic change,"
micro_b050.xml,premises,and the age of those who are physically and mentally fit is increasing steadily.
micro_b050.xml,premises,Thus social security and pension costs are increasing.
micro_b051.xml,premises,"However it's mainly temps (that is, students, pupils etc.) who are employed,"
micro_b051.xml,premises,And it’s only the large companies that can afford the additional personnel expenditure.
micro_b051.xml,premises,"On top of that, private and family life suffers massively because of this reduction and shifting in designated off-times."
micro_b052.xml,premises,"and furthermore, due to today's healthcare most people in many occupations are fitter for work in old age than before."
micro_b052.xml,premises,"For, due to the low birth rate, the proportion of the elderly population and with it pension costs are on the rise,"
micro_b053.xml,premises,"Besides many practices in this field are not regulated professions,"
micro_b053.xml,premises,which means that quacks and phonies can practice these occupations unknown to the patients.
micro_b054.xml,premises,"For years there has been a housing shortage in Berlin,"
micro_b054.xml,premises,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
micro_b054.xml,premises,"Since the area belongs to the federal state, or the federation,"
micro_b054.xml,premises,it could even be used for social housing with affordable rents.
micro_b055.xml,premises,"Being a pharmacist myself,"
micro_b055.xml,premises,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
micro_b056.xml,premises,A violation of international law should be more than enough to consider a reaction!
micro_b056.xml,premises,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
micro_b056.xml,premises,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
micro_b057.xml,premises,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?
micro_b057.xml,premises,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons."
micro_b058.xml,premises,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!"
micro_b058.xml,premises,"And many a video game is physically and particularly mentally more demanding, when I think of the last FIFA tournament's final, than kicking a ball 20 metres."
micro_b058.xml,premises,"as you don't even need doping tests, only a neutral console."
micro_b058.xml,premises,"Plus the hurdle to make video games Olympic events is minimal,"
micro_b059.xml,premises,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
micro_b059.xml,premises,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
micro_b060.xml,premises,"Thus smaller shops could benefit from the additional freedom,"
micro_b060.xml,premises,as customers are on average more laid-back on Sunday.
micro_b061.xml,premises,"in general, however, a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine."
micro_b062.xml,premises,This would mean that organizations would be lacking a great deal of manpower in the future.
micro_b062.xml,premises,The introductory phase of retirement at 63 would also be a particular challenge
