topic,arg_A,arg_B,text_A,text_B,type_A,type_B,s2_score
EU_influence_on_political_events_in_Ukraine,a1,a6,The EU should exert influence on the political events in Ukraine.,the EU should intervene right away.,claim,claim,0.3536
EU_influence_on_political_events_in_Ukraine,a6,a2,the EU should intervene right away.,the EU should not intervene in local politics.,claim,claim,0.3414
EU_influence_on_political_events_in_Ukraine,a1,a2,The EU should exert influence on the political events in Ukraine.,the EU should not intervene in local politics.,claim,claim,0.2945
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,I think Fritz has never been in a fight in his life.,claim,claim,0.4356
MISSING_TOPIC,a1,a3,"You should watch less television,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.3983
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,That's why we should not allow any additional bank rescues.,claim,claim,0.3961
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,I think Fritz has never been in a fight in his life.,claim,claim,0.3762
MISSING_TOPIC,a2,a3,We urgently need a midfield replacement for the coming match.,That's why we should not allow any additional bank rescues.,claim,claim,0.3755
MISSING_TOPIC,a1,a3,It was clearly a mistake to include Tom in our football team.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.3745
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,It was clearly a mistake to include Tom in our football team.,claim,claim,0.3704
MISSING_TOPIC,a1,a3,It was clearly a mistake to include Tom in our football team.,Thus one of his ex-girlfriends must have been there.,claim,claim,0.3649
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,It was clearly a mistake to include Tom in our football team.,claim,claim,0.3616
MISSING_TOPIC,a1,a1,We should go to the Baltic Sea on the weekend.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.3584
MISSING_TOPIC,a3,a1,That's why we should not allow any additional bank rescues.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.3571
MISSING_TOPIC,a1,a1,We should go to the Baltic Sea on the weekend.,I think Fritz has never been in a fight in his life.,claim,claim,0.3553
MISSING_TOPIC,a3,a3,That's why we should not allow any additional bank rescues.,"That's why they should be taken off the market,",claim,claim,0.3542
MISSING_TOPIC,a1,a3,We should go to the Baltic Sea on the weekend.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.3513
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,Today I will delete my Facebook account.,claim,claim,0.3486
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,Berlin's basketball team has just come out of a sobering season.,claim,claim,0.3446
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,Tomorrow I will skydive for the first time in my life.,claim,claim,0.3409
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.3387
MISSING_TOPIC,a3,a3,"This is why we need more police presence in public transport,",That's why we should not allow any additional bank rescues.,claim,claim,0.3385
MISSING_TOPIC,a1,a3,"You should watch less television,",Thus one of his ex-girlfriends must have been there.,claim,claim,0.3313
MISSING_TOPIC,a1,a3,It was clearly a mistake to include Tom in our football team.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.3299
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.3288
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,"That's why they should be taken off the market,",claim,claim,0.3285
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,The current tour of Tokio Hotel is breaking all records.,claim,claim,0.3283
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,That's why we should not allow any additional bank rescues.,claim,claim,0.3242
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,We should go to the Baltic Sea on the weekend.,claim,claim,0.3216
MISSING_TOPIC,a3,a3,Thus one of his ex-girlfriends must have been there.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.3176
MISSING_TOPIC,a1,a2,It was clearly a mistake to include Tom in our football team.,We urgently need a midfield replacement for the coming match.,claim,claim,0.3132
MISSING_TOPIC,a1,a3,I think Fritz has never been in a fight in his life.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.3121
MISSING_TOPIC,a3,a3,Thus one of his ex-girlfriends must have been there.,"That's why they should be taken off the market,",claim,claim,0.31
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.3039
MISSING_TOPIC,a1,a3,Peter should close his snack bar as soon as possible.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.3031
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.3015
MISSING_TOPIC,a3,a3,"This is why we need more police presence in public transport,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.3012
MISSING_TOPIC,a1,a1,Berlin's basketball team has just come out of a sobering season.,Peter should close his snack bar as soon as possible.,claim,claim,0.3005
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.2994
MISSING_TOPIC,a1,a2,Today I will delete my Facebook account.,We urgently need a midfield replacement for the coming match.,claim,claim,0.2961
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,The current tour of Tokio Hotel is breaking all records.,claim,claim,0.2955
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,That's why we should not allow any additional bank rescues.,claim,claim,0.2955
MISSING_TOPIC,a3,a3,We should thus all limit our consumption of meat rigorously.,"That's why they should be taken off the market,",claim,claim,0.2947
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,We should go to the Baltic Sea on the weekend.,claim,claim,0.2946
MISSING_TOPIC,a3,a3,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",That's why we should not allow any additional bank rescues.,claim,claim,0.2902
MISSING_TOPIC,a1,a1,Today I will delete my Facebook account.,We should go to the Baltic Sea on the weekend.,claim,claim,0.2886
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2849
MISSING_TOPIC,a1,a1,Peter should close his snack bar as soon as possible.,I can only recommend the new smartphone XYZ-123 to everyone.,claim,claim,0.2845
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,I think Fritz has never been in a fight in his life.,claim,claim,0.2837
MISSING_TOPIC,a1,a1,The current tour of Tokio Hotel is breaking all records.,We should go to the Baltic Sea on the weekend.,claim,claim,0.2818
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,We should go to the Baltic Sea on the weekend.,claim,claim,0.2816
MISSING_TOPIC,a3,a3,Thus one of his ex-girlfriends must have been there.,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",claim,claim,0.2801
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,"This is why we need more police presence in public transport,",claim,claim,0.2781
MISSING_TOPIC,a2,a3,That's why everyone should have an anti-virus programme on his or her Windows machine.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.2725
MISSING_TOPIC,a3,a3,"This is why we need more police presence in public transport,","That's why they should be taken off the market,",claim,claim,0.2715
MISSING_TOPIC,a1,a1,The current tour of Tokio Hotel is breaking all records.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2707
MISSING_TOPIC,a3,a1,"This is why we need more police presence in public transport,",The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2703
MISSING_TOPIC,a1,a3,The prototype of Audi's new sports car has car lovers raving.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2698
MISSING_TOPIC,a1,a1,Freddy and I must be siblings.,Peter should close his snack bar as soon as possible.,claim,claim,0.2683
MISSING_TOPIC,a1,a3,"You should watch less television,","This is why we need more police presence in public transport,",claim,claim,0.2682
MISSING_TOPIC,a1,a1,I think Fritz has never been in a fight in his life.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2679
MISSING_TOPIC,a3,a3,That's why we should not allow any additional bank rescues.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2672
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,Today I will delete my Facebook account.,claim,claim,0.2658
MISSING_TOPIC,a1,a3,I can only recommend the new smartphone XYZ-123 to everyone.,"That's why they should be taken off the market,",claim,claim,0.2654
MISSING_TOPIC,a2,a1,That's why everyone should have an anti-virus programme on his or her Windows machine.,"You should watch less television,",claim,claim,0.2651
MISSING_TOPIC,a1,a3,Berlin's basketball team has just come out of a sobering season.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2644
MISSING_TOPIC,a3,a3,Thus one of his ex-girlfriends must have been there.,We should thus all limit our consumption of meat rigorously.,claim,claim,0.2633
MISSING_TOPIC,a3,a3,"Nevertheless the head of government, Merkel, had better restrain herself in announcing handouts this year.",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,claim,claim,0.2584
MISSING_TOPIC,a1,a2,Freddy and I must be siblings.,That's why everyone should have an anti-virus programme on his or her Windows machine.,claim,claim,0.255
MISSING_TOPIC,a1,a1,It was clearly a mistake to include Tom in our football team.,Peter should close his snack bar as soon as possible.,claim,claim,0.2545
MISSING_TOPIC,a1,a1,We should go to the Baltic Sea on the weekend.,The prototype of Audi's new sports car has car lovers raving.,claim,claim,0.2545
