topic_id,adu_id,type,text
waste_separation,a1,objection,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
waste_separation,a2,premise,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
waste_separation,a3,objection,But still Germany produces way too much rubbish
waste_separation,a4,premise,and too many resources are lost when what actually should be separated and recycled is burnt.
waste_separation,a5,claim,We Berliners should take the chance and become pioneers in waste separation!
higher_dog_poo_fines,a1,premise,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
higher_dog_poo_fines,a2,premise,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
higher_dog_poo_fines,a3,claim,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
higher_dog_poo_fines,a4,objection,"Of course, first they'd actually need to be caught in the act by public order officers,"
higher_dog_poo_fines,a5,objection,"but once they have to dig into their pockets, their laziness will sure vanish!"
health_insurance_cover_complementary_medicine,a1,claim,Health insurance companies should not cover treatment in complementary medicine
health_insurance_cover_complementary_medicine,a2,objection,unless the promised effect and its medical benefit have been concretely proven.
health_insurance_cover_complementary_medicine,a3,objection,Yet this very proof is lacking in most cases.
health_insurance_cover_complementary_medicine,a4,objection,Patients do often report relief of their complaints after such treatments.
health_insurance_cover_complementary_medicine,a5,objection,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
public_broadcasting_fees_on_demand,a1,objection,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
public_broadcasting_fees_on_demand,a2,objection,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
public_broadcasting_fees_on_demand,a3,claim,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
public_broadcasting_fees_on_demand,a4,premise,for we need general and independent media.
public_broadcasting_fees_on_demand,a5,premise,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
stricter_regulation_of_intelligence_services,a1,claim,Intelligence services must urgently be regulated more tightly by parliament;
stricter_regulation_of_intelligence_services,a2,premise,this should be clear to everyone after the disclosures of Edward Snowden.
stricter_regulation_of_intelligence_services,a3,objection,"Granted, those concern primarily the British and American intelligence services,"
stricter_regulation_of_intelligence_services,a4,objection,but the German services evidently do collaborate with them closely.
stricter_regulation_of_intelligence_services,a5,premise,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
introduce_capital_punishment,a1,claim,The death penalty is a legal means that as such is not practicable in Germany.
introduce_capital_punishment,a2,premise,"For one thing, inviolable human dignity is anchored in our constitution,"
introduce_capital_punishment,a3,premise,and furthermore no one may have the right to adjudicate upon the death of another human being.
introduce_capital_punishment,a4,objection,"Even if many people think that a murderer has already decided on the life or death of another person,"
introduce_capital_punishment,a5,objection,this is precisely the crime that we should not repay with the same.
higher_dog_poo_fines,a1,premise,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
higher_dog_poo_fines,a2,premise,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
higher_dog_poo_fines,a3,claim,That's why causing such obstacles must to be more urgently punished.
higher_dog_poo_fines,a4,objection,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
higher_dog_poo_fines,a5,objection,Yet then they misjudge its impact on road traffic.
over_the_counter_morning_after_pill,a1,objection,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
over_the_counter_morning_after_pill,a2,objection,But it's not that simple.
over_the_counter_morning_after_pill,a3,premise,Perhaps a new life was already created that night.
over_the_counter_morning_after_pill,a4,premise,I would kill it without further thought.
over_the_counter_morning_after_pill,a5,claim,That's why a visit to the doctor and professional advice should remain mandatory.
cap_rent_increases,a1,claim,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
cap_rent_increases,a2,objection,Clearly the landlord has to pay for some repairs before a new lease.
cap_rent_increases,a3,objection,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.
cap_rent_increases,a4,premise,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.
health_insurance_cover_complementary_medicine,a1,claim,"Alternative treatments should be subsidized in the same way as conventional treatments,"
health_insurance_cover_complementary_medicine,a2,premise,"since both methods can lead to the prevention, mitigation or cure of an illness."
health_insurance_cover_complementary_medicine,a3,premise,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
health_insurance_cover_complementary_medicine,a4,premise,since there is a chance of recovery.
health_insurance_cover_complementary_medicine,a5,premise,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
higher_dog_poo_fines,a1,claim,For dog dirt left on the pavement dog owners should by all means pay a bit more.
higher_dog_poo_fines,a2,objection,"Indeed it's not the fault of the animals,"
higher_dog_poo_fines,a3,objection,"but once you step in it, their excrement seems to stick rather persistently to your soles."
school_uniforms,a1,objection,"Some may find the idea of a school uniform anachronistic,"
school_uniforms,a2,objection,or regard it as too much of an intervention into the leeway of students and parents to make decisions.
school_uniforms,a3,objection,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments."
school_uniforms,a4,claim,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
health_insurance_cover_complementary_medicine,a1,claim,Health insurance companies should naturally cover alternative medical treatments.
health_insurance_cover_complementary_medicine,a2,objection,"Not all practices and approaches that are lumped together under this term may have been proven in clinical trials,"
health_insurance_cover_complementary_medicine,a3,objection,yet it's precisely their positive effect when accompanying conventional 'western' medical therapies that's been demonstrated as beneficial.
health_insurance_cover_complementary_medicine,a4,premise,Besides many general practitioners offer such counselling and treatments in parallel anyway -
