,file_id_1,topic_id,adu_id_1,type_1,is_major_claim_1,stance_1,file_id_2,adu_id_2,type_2,is_major_claim_2,stance_2,full_sentence_1,full_sentence_2,fragment_text_1,fragment_text_2,similarity
244,micro_b040,higher_dog_poo_fines,a1,claim,True,pro,micro_k008,a1,claim,True,pro,There should be much higher fines for dog dirt left on pavements.,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt, which in turn would result in generally clean pavements.","If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,",There should be much higher fines for dog dirt left on pavements.,4.0
132,micro_b022,keep_retirement_at_63,a1,claim,True,con,micro_b052,a3,claim,True,con,"No, the retirement age should be raised to 65 again.","Although the workload is getting heavier in many professions and physical and psychological wear on personnel is steadily increasing, the statutory retirement age should in the future not remain at 63 years.","No, the retirement age should be raised to 65 again.",the statutory retirement age should in the future not remain at 63 years.,3.5
385,micro_k004,allow_shops_to_open_on_holidays_and_sundays,a1,claim,True,pro,micro_k018,a6,claim,True,con,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,1.5
133,micro_b022,keep_retirement_at_63,a1,claim,True,con,micro_b057,a4,claim,True,con,"No, the retirement age should be raised to 65 again.","Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","No, the retirement age should be raised to 65 again.",3.0
480,micro_k020,introduce_capital_punishment,a4,claim,True,con,micro_b027,a1,claim,True,con,The state ought to prevent murder - not avenge it.,The death penalty should be abandoned everywhere.,The death penalty should be abandoned everywhere.,The state ought to prevent murder - not avenge it.,3.0
512,micro_k024,higher_dog_poo_fines,a1,claim,True,pro,micro_k031,a5,claim,True,pro,"Dog owners should pay higher fines for dog dirt left on pavements, although there aren't enough bins and bag-dispensers for dog dirt.",Increasing penalties is therefore the right way.,"Dog owners should pay higher fines for dog dirt left on pavements,",Increasing penalties is therefore the right way.,3.5
260,micro_b045,buy_tax_evader_data_from_dubious_sources,a4,claim,True,con,micro_b019,a6,claim,True,con,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,Tax data that are not made available for free should therefore not be acquired by the state.,Acquiring CDs with tax data of tax delinquents is therefore out of the question.,Tax data that are not made available for free should therefore not be acquired by the state.,3.0
328,micro_b058,make_video_games_olympic,a2,claim,True,pro,micro_b036,a1,claim,True,pro,It would be fair to make them into an Olympic event.,Video games ought to be included in the ranks of Olympic events.,It would be fair to make them into an Olympic event.,Video games ought to be included in the ranks of Olympic events.,5.0
237,micro_b039,EU_influence_on_political_events_in_Ukraine,a1,claim,True,pro,micro_k016,a2,claim,True,con,The EU should exert influence on the political events in Ukraine.,"Despite the severe clashes in Kiev, which at times have threatened to escalate, the EU should not intervene in local politics.",The EU should exert influence on the political events in Ukraine.,the EU should not intervene in local politics.,1.5
427,micro_k011,cap_rent_increases,a4,claim,True,pro,micro_b009,a1,claim,True,pro,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,2.5
135,micro_b022,keep_retirement_at_63,a1,claim,True,con,micro_k017,a1,claim,True,con,"No, the retirement age should be raised to 65 again.","The implementation of retirement at 63 is no longer socially sustainable, as the population in Germany has, viewed demographically, a disproportionate number of old people, and constantly declining birth rates are being recorded.","No, the retirement age should be raised to 65 again.","The implementation of retirement at 63 is no longer socially sustainable,",4.0
388,micro_k006,introduce_capital_punishment,a5,claim,True,con,micro_b023,a3,claim,True,con,We don't need it.,That's why Germany should not introduce capital punishment!,That's why Germany should not introduce capital punishment!,We don't need it.,4.5
107,micro_b017,cap_rent_increases,a1,claim,True,pro,micro_b024,a1,claim,True,pro,Rent prices should be limited by a cap when there's a change of tenant.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,Rent prices should be limited by a cap when there's a change of tenant.,4.5
292,micro_b051,allow_shops_to_open_on_holidays_and_sundays,a6,claim,True,con,micro_k007,a1,claim,True,pro,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,2.0
509,micro_k024,higher_dog_poo_fines,a1,claim,True,pro,micro_b061,a1,claim,True,con,"Dog owners should pay higher fines for dog dirt left on pavements, although there aren't enough bins and bag-dispensers for dog dirt.",Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"Dog owners should pay higher fines for dog dirt left on pavements,",Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,2.0
378,micro_k003,increase_weight_of_BA_thesis_in_final_grade,a3,claim,True,con,micro_k023,a1,claim,True,pro,Current regulations for the calculation of the total grade should therefore be maintained.,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.",Current regulations for the calculation of the total grade should therefore be maintained.,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.",1.5
443,micro_k013,allow_shops_to_open_on_holidays_and_sundays,a3,claim,True,con,micro_k007,a1,claim,True,pro,Hence it is good when shops are not open on Sundays and public holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,Hence it is good when shops are not open on Sundays and public holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,2.0
532,micro_k029,over_the_counter_morning_after_pill,a1,claim,True,con,micro_b055,a2,claim,True,pro,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,"Being a pharmacist myself, I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.",I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,2.0
516,micro_k025,introduce_capital_punishment,a5,claim,True,pro,micro_b031,a1,claim,True,con,"Still, the state needs the death penalty as a deterrent to horrific crimes.","One should not re-introduce capital punishment in Germany, since no one can claim the right to rule over the life or death of another human being.","One should not re-introduce capital punishment in Germany,","Still, the state needs the death penalty as a deterrent to horrific crimes.",1.5
270,micro_b047,over_the_counter_morning_after_pill,a5,claim,True,con,micro_b055,a2,claim,True,pro,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,"Being a pharmacist myself, I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.",I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.,2.0
