pair_type,soft_score,topic_1,text_1,text_2
different_topic,0.42541084207337476,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
different_topic,0.31941319289414777,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Health insurance companies should not cover treatment in complementary medicine
different_topic,0.48872976578198946,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
different_topic,0.541137066380731,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Intelligence services must urgently be regulated more tightly by parliament;
different_topic,0.3897112968067328,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The death penalty is a legal means that as such is not practicable in Germany.
different_topic,0.49034954951359677,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,That's why causing such obstacles must to be more urgently punished.
different_topic,0.4503848266601562,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,That's why a visit to the doctor and professional advice should remain mandatory.
different_topic,0.4854690712925635,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
different_topic,0.4048016766707102,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Alternative treatments should be subsidized in the same way as conventional treatments,"
different_topic,0.5674963563680648,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,For dog dirt left on the pavement dog owners should by all means pay a bit more.
different_topic,0.36905736993584365,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
different_topic,0.3362521752715111,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Health insurance companies should naturally cover alternative medical treatments.
different_topic,0.48071559619259197,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
different_topic,0.41490719384617275,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Well, I as an employee find it very practical to be able to shop at least on weekends."
different_topic,0.3835934789284416,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,It would therefore be wise to adjust the required effort for final theses accordingly.
different_topic,0.2883269434625452,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Rent prices should be limited by a cap when there's a change of tenant.
different_topic,0.37730689764022823,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
different_topic,0.3217735005461651,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Tax data that are not made available for free should therefore not be acquired by the state.
different_topic,0.5420246774500067,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,computer games should also not be recognized as Olympic events.
different_topic,0.3189222791365215,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Tuition fees should not be charged in Germany.
different_topic,0.5657095483371191,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"No, the retirement age should be raised to 65 again."
different_topic,0.47515052816142206,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,That's why Germany should not introduce capital punishment!
different_topic,0.38987768269502193,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
different_topic,0.46480049910368737,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,A reduction in the amount of chemically produced medication per person is most certainly desirable.
different_topic,0.4148346402549318,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.
different_topic,0.27083408534526826,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The death penalty should be abandoned everywhere.
different_topic,0.39171189844608306,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The universities in Germany should not under any circumstances charge tuition fees.
different_topic,0.4038742732788835,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The TV/radio licence fee can only be required of all citizens/households equally.
different_topic,0.3227826044673011,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,School uniforms should not be worn in our schools.
different_topic,0.45876216629277106,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"One should not re-introduce capital punishment in Germany,"
different_topic,0.5209803938865661,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,There should be a higher fine for dog dirt on the pavement.
different_topic,0.4938224454720815,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,"
different_topic,0.23676190915561857,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Tuition fees should not generally be charged by universities.
different_topic,0.42735521282468525,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
different_topic,0.4627938812429255,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Video games ought to be included in the ranks of Olympic events.
different_topic,0.4949427700042725,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"including planning abilities, reaction time, and reasoning to name but a few."
different_topic,0.4896145915162974,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The morning-after pill ought to be available over-the-counter in pharmacies.
different_topic,0.3884675854986364,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,School uniforms should be introduced in our schools again.
different_topic,0.515846644838651,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The EU should exert influence on the political events in Ukraine.
different_topic,0.5452796132476242,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,There should be much higher fines for dog dirt left on pavements.
different_topic,0.42282852751237376,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Secret services must be more tightly regulated in order to prevent excessive surveillance.
different_topic,0.22813786705955863,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,dispensing it without medical advice would be inappropriate.
different_topic,0.4176584753123196,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids.
different_topic,0.5983516266569495,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
different_topic,0.36417635186360436,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Acquiring CDs with tax data of tax delinquents is therefore out of the question.
different_topic,0.3546839499473572,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
different_topic,0.4170172500970034,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,The morning-after pill should only be prescribed after counselling by a physician or pharmacist.
different_topic,0.3932329759649608,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Therefore universities should not charge tuition fees in Germany.
different_topic,0.5465706448102821,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Due to the many random factors the bachelor thesis should not play a bigger role.
different_topic,0.37226235151290893,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
different_topic,0.4900322380391034,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.
different_topic,0.4951894187501499,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,the statutory retirement age should in the future not remain at 63 years.
different_topic,0.4916099848655554,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,That's why the statutory health insurance companies should not cover such treatments.
different_topic,0.5329255590622779,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
different_topic,0.5046439860016109,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
different_topic,0.4960732378742911,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,the EU should intervene right away.
different_topic,0.5149996319124776,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
different_topic,0.44470139344533294,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,It would be fair to make them into an Olympic event.
different_topic,0.5239613237125533,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,A cap on rent increases upon tenant change is therefore not to be supported.
different_topic,0.5033652298152447,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Opening on Sundays and holidays would therefore help both customers and shops.
different_topic,0.48148991891316006,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
different_topic,0.4483122968673707,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,I am not of the opinion that the retirement age should be set at 63 years.
different_topic,0.3903504490852356,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"After the new BER Airport has been commissioned, Tegel should definitely be closed."
different_topic,0.40753451119298517,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Not everyone should be obliged to pay the TV & radio licence.
different_topic,0.40739363014698027,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Actually it would be justified if all German universities charged tuition fees.
different_topic,0.40035454734511994,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Current regulations for the calculation of the total grade should therefore be maintained.
different_topic,0.472768655916055,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.
different_topic,0.45548190176486975,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers."
different_topic,0.278362234433492,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,We don't need it.
different_topic,0.46651131924121614,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
different_topic,0.5707266414538027,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
different_topic,0.5848471304545035,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Germany should by no means introduce capital punishment.
different_topic,0.4539229099949201,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
different_topic,0.4939917866830473,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"If there must be rent increases, there should also be a cap to avoid nasty surprises."
different_topic,0.3350357367940571,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,German universities should on no account charge tuition fees.
different_topic,0.4674016524244238,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,Hence it is good when shops are not open on Sundays and public holidays.
different_topic,0.5745864276375089,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"Intelligence services should be more closely regulated by parliament,"
different_topic,0.39478999376297,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,"BER should be re-conceptualized from scratch,"
different_topic,0.38114457471030105,waste_separation,We Berliners should take the chance and become pioneers in waste separation!,the EU should not intervene in local politics.
