topic_id,premises
waste_separation,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
higher_dog_poo_fines,"And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles. | One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt. | This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations. | Dog dirt on the pavement requires my complete, ground-focused attention on my way to work. | Dog dirt is disgusting and a hygiene problem. | If you dispose of the waste then and there yourself, no fine is necessary. | Also children, adults and other animals aren't allowed to leave droppings on the pavement. | Besides, the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement, which is disproportionate. | due to the dirt, the stench and the often considerable effort to get rid of it. | Stepping in dog dirt is gross and absolutely ruins your day | in general, however, a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine. | which in turn would result in generally clean pavements. | for they are there for our recreation. | Besides you're not allowed to leave other rubbish without punishment. | A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all. | One reason for this is that they have thus far hardly had to fear the consequences despite the obligation to clean up. | The city, especially the green spaces, should be kept tidy after all, | A dog dirt-free city will be more attractive not only for its residents but also for tourists! | Time and again children or the elderly slip on them. | Pieces of dog poo on the pavements are a real danger."
health_insurance_cover_complementary_medicine,"since there is a chance of recovery. | Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment, | since both methods can lead to the prevention, mitigation or cure of an illness. | It doesn't matter after all that those who administer the treatment don't have 'doctor status'. | Besides many general practitioners offer such counselling and treatments in parallel anyway - | They should not be spent on personal preferences without proven use. | Yet the funds of the health insurance companies are a common benefit for all premium payers. | The patient could learn to be more aware of his or her body and to treat it more healthily. | This will do little damage to the pharmaceutical industry, | and it has not generally been ineffective. | From time immemorial humans have had complementary medicine, | and conventional medicine will also hardly suffer. | and, moreover, entails significant risks and side effects. | which ultimately also saves costs for conventional treatments and medication. | Also conventional medicine is in many cases not successful, | Such therapies can frequently result in an improvement in the condition through the active participation of the patient. | Often natural treatments do not put as much of a strain on the patient. | which are often less costly than medication from conventional medicine, which are also paid for after all. | Complementary medicine includes treatments with proven health benefits in many areas | which means that quacks and phonies can practice these occupations unknown to the patients. | Besides many practices in this field are not regulated professions,"
public_broadcasting_fees_on_demand,"for we need general and independent media. | After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs. | What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations? | Curiously, however, there are still adverts and product placements on the public channels. | Also the scripts are often copied off each other. | Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not. | and online magazines are turned to instead of the “Tagesthemen”. | US series are preferred over “Tatort”, | Particularly the younger generations are no longer dependent on the programming of public broadcasters. | so there's no advantage for the current paying viewers of the public broadcasters. | By now you have advertising on all channels, | In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this? | Only in public TV programmes can viewers get information that is not profit-oriented. | The thought of television exclusively made up of private channels scares me. | After all there are many people in Germany who pay the fee although they merely use a computer to work. | Yet the fees are demanded from everybody who does not apply for a waiver, no matter how many receiver devices actually exist in the household and how they are being used."
stricter_regulation_of_intelligence_services,"this should be clear to everyone after the disclosures of Edward Snowden. | Their tools, data and expertise have been used to keep us under surveillance for a long time. | for it jeopardizes the secrecy and security of confidential data and informants. | and must therefore be monitored more closely to prevent abuse. | Besides, intelligence services intervene massively in the privacy of citizens | After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states. | No one can follow their activities in detail. | Intelligence services apparently enjoy indiscriminate liberties. | Checks could contribute to restricting the so far rather opaque scope of action of individual services. | for, as the most recent NSA wiretapping scandal has shown, the federal state government is allegedly not always familiar with the scope of operations of its intelligence services. | as ultimately this decision is in the hands of the respective government leaders."
introduce_capital_punishment,"and furthermore no one may have the right to adjudicate upon the death of another human being. | For one thing, inviolable human dignity is anchored in our constitution, | Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion. | Courts are also subject to human error. | No human being or human committee should again be given the permission to rule over 'life or death'. | A door must remain open for making amends. | From a Christian and humanistic perspective it is not allowed to kill someone. | Moreover it turns out time and again that innocent people are also convicted and executed. | since no one can claim the right to rule over the life or death of another human being. | Everyone must be given the chance to hone their conscience and possibly make amends for their deed. | Capital punishment will not deter anyone else from an atrocity. | Handing out capital punishment is unethical. | Plus we don't live in medieval times anymore. | What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on | Capital punishment would be murder and would have to be punished with the death penalty itself. | If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives. | 'An eye for an eye' seems to miss the point. | Fear of punishment hence does not deter murderers. | Despite the death penalty there are significantly more homicides in the US than in Germany. | A re-introduction of capital punishment in Germany would be a step back into the Middle Ages. | After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work. | Criminals should not be put in luxury prisons, though. | as it cannot be ruled out that the judicial process may make mistakes."
over_the_counter_morning_after_pill,"Perhaps a new life was already created that night. | and an unwanted pregnancy can place a significant strain on both the parents and the child for the rest of their lives. | Even with state-of-the-art contraceptives there can be mistakes and problems | Since the impact of the morning-after pill is so massive, particularly due to its abortive effect, | Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that, however, have fewer health effects. | The morning-after pill has a number of side effects. | From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse. | Being a pharmacist myself, | Furthermore there's the risk that women could use the over-the-counter morning-after pill as a substitute for contraception."
cap_rent_increases,"All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease. | but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible. | Gentrification destroys entire districts and their culture. | Plus everyone has to move approx. 3-10 times in his or her life, | Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all. | For affordable living space is scarce. | because the size of the desired accommodation changes over the course of a lifetime. | In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment. | Rent prices are already regulated in favour of tenants due to existing laws and the rent index. | as they have more pull in the end anyway. | as they can adjust their expenses through the increase, | That the landlords are then slightly restricted in the administration of their property is not a problem, | and also the tenants, | With those kinds of amounts you think twice about whether you really want to stay in the flat. | they’re very bad however, if the rent suddenly climbs by €100 or €200. | as they can plan for a maximum rent increase. | This helps the landlords, | The rich and poor live in different neighbourhoods. | 'Property entails commitment' is one of the tenets of our social order."
school_uniforms,"Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development. | Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school. | which may reduce discrimination of financially and/or socially disadvantaged children. | This provides an at least superficial equalization in our heavily economically oriented society,"
allow_shops_to_open_on_holidays_and_sundays,"Plus, the state wants me to spend my money, | On top of that, private and family life suffers massively because of this reduction and shifting in designated off-times. | However it's mainly temps (that is, students, pupils etc.) who are employed, | And it’s only the large companies that can afford the additional personnel expenditure. | as customers are on average more laid-back on Sunday. | Thus smaller shops could benefit from the additional freedom, | Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete. | as not everyone would be open on the same day. | Also streets and shops would presumably be emptier | For in this way, Sunday shopping days would be better spread out through the year. | Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper. | Supermarket employees and people who work in shopping centres also have the right to a Sunday off work. | But after all, the purpose of having a day off is not just to make time to go to church. | the last 20 years have seen the Sunday off work increasingly sacrificed to commerce. | Our society is in danger of overheating due to 'never clocking off'. | Rather it should give people the chance to have a mental break. | Furthermore, there's no need to keep shops open on Sundays. | Thus Sundays should remain a day for getting together with family, | as shops are open till 10pm on some days. | For you can go shopping 6 days a week, | otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc."
