file_id,topic_id,adu_id,is_major_claim,stance,text
micro_b001,waste_separation,a1,FALSE,pro,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
micro_b001,waste_separation,a2,FALSE,pro,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
micro_b001,waste_separation,a3,FALSE,pro,But still Germany produces way too much rubbish
micro_b001,waste_separation,a4,FALSE,pro,and too many resources are lost when what actually should be separated and recycled is burnt.
micro_b001,waste_separation,a5,TRUE,pro,We Berliners should take the chance and become pioneers in waste separation!
micro_b002,higher_dog_poo_fines,a1,FALSE,pro,One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt.
micro_b002,higher_dog_poo_fines,a2,FALSE,pro,And when bad luck does strike and you step into one of the many 'land mines' you have to painstakingly scrape the remains off your soles.
micro_b002,higher_dog_poo_fines,a3,TRUE,pro,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
micro_b002,higher_dog_poo_fines,a4,FALSE,pro,"Of course, first they'd actually need to be caught in the act by public order officers,"
micro_b002,higher_dog_poo_fines,a5,FALSE,pro,"but once they have to dig into their pockets, their laziness will sure vanish!"
micro_b003,health_insurance_cover_complementary_medicine,a1,TRUE,con,Health insurance companies should not cover treatment in complementary medicine
micro_b003,health_insurance_cover_complementary_medicine,a2,FALSE,con,unless the promised effect and its medical benefit have been concretely proven.
micro_b003,health_insurance_cover_complementary_medicine,a3,FALSE,con,Yet this very proof is lacking in most cases.
micro_b003,health_insurance_cover_complementary_medicine,a4,FALSE,con,Patients do often report relief of their complaints after such treatments.
micro_b003,health_insurance_cover_complementary_medicine,a5,FALSE,con,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
micro_b004,public_broadcasting_fees_on_demand,a1,FALSE,con,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee,"
micro_b004,public_broadcasting_fees_on_demand,a2,FALSE,con,"and others, such as “Musikantenstadl” and soap operas, are only interesting to certain audiences."
micro_b004,public_broadcasting_fees_on_demand,a3,TRUE,con,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
micro_b004,public_broadcasting_fees_on_demand,a4,FALSE,con,for we need general and independent media.
micro_b004,public_broadcasting_fees_on_demand,a5,FALSE,con,After all we want to get our view of the world neither through the lens of the government nor through that of rich media entrepreneurs.
micro_b005,stricter_regulation_of_intelligence_services,a1,TRUE,pro,Intelligence services must urgently be regulated more tightly by parliament;
micro_b005,stricter_regulation_of_intelligence_services,a2,FALSE,pro,this should be clear to everyone after the disclosures of Edward Snowden.
micro_b005,stricter_regulation_of_intelligence_services,a3,FALSE,pro,"Granted, those concern primarily the British and American intelligence services,"
micro_b005,stricter_regulation_of_intelligence_services,a4,FALSE,pro,but the German services evidently do collaborate with them closely.
micro_b005,stricter_regulation_of_intelligence_services,a5,FALSE,pro,"Their tools, data and expertise have been used to keep us under surveillance for a long time."
micro_b006,introduce_capital_punishment,a1,TRUE,con,The death penalty is a legal means that as such is not practicable in Germany.
micro_b006,introduce_capital_punishment,a2,FALSE,con,"For one thing, inviolable human dignity is anchored in our constitution,"
micro_b006,introduce_capital_punishment,a3,FALSE,con,and furthermore no one may have the right to adjudicate upon the death of another human being.
micro_b006,introduce_capital_punishment,a4,FALSE,con,"Even if many people think that a murderer has already decided on the life or death of another person,"
micro_b006,introduce_capital_punishment,a5,FALSE,con,this is precisely the crime that we should not repay with the same.
micro_b007,higher_dog_poo_fines,a1,FALSE,pro,"Dog dirt on the pavement requires my complete, ground-focused attention on my way to work."
micro_b007,higher_dog_poo_fines,a2,FALSE,pro,This results in a lack of alertness in the road traffic comparable to a minor offense of the traffic regulations.
micro_b007,higher_dog_poo_fines,a3,TRUE,pro,That's why causing such obstacles must to be more urgently punished.
micro_b007,higher_dog_poo_fines,a4,FALSE,pro,Dog owners may think that dog dirt is only a harmless secretion of an animal like any other.
micro_b007,higher_dog_poo_fines,a5,FALSE,pro,Yet then they misjudge its impact on road traffic.
micro_b008,over_the_counter_morning_after_pill,a1,FALSE,con,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
micro_b008,over_the_counter_morning_after_pill,a2,FALSE,con,But it's not that simple.
micro_b008,over_the_counter_morning_after_pill,a3,FALSE,con,Perhaps a new life was already created that night.
micro_b008,over_the_counter_morning_after_pill,a4,FALSE,con,I would kill it without further thought.
micro_b008,over_the_counter_morning_after_pill,a5,TRUE,con,That's why a visit to the doctor and professional advice should remain mandatory.
micro_b009,cap_rent_increases,a1,TRUE,pro,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
micro_b009,cap_rent_increases,a2,FALSE,pro,Clearly the landlord has to pay for some repairs before a new lease.
micro_b009,cap_rent_increases,a3,FALSE,pro,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.
micro_b009,cap_rent_increases,a4,FALSE,pro,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.
micro_b010,health_insurance_cover_complementary_medicine,a1,TRUE,pro,"Alternative treatments should be subsidized in the same way as conventional treatments,"
micro_b010,health_insurance_cover_complementary_medicine,a2,FALSE,pro,"since both methods can lead to the prevention, mitigation or cure of an illness."
micro_b010,health_insurance_cover_complementary_medicine,a3,FALSE,pro,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
micro_b010,health_insurance_cover_complementary_medicine,a4,FALSE,pro,since there is a chance of recovery.
micro_b010,health_insurance_cover_complementary_medicine,a5,FALSE,pro,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
micro_b011,higher_dog_poo_fines,a1,TRUE,pro,For dog dirt left on the pavement dog owners should by all means pay a bit more.
micro_b011,higher_dog_poo_fines,a2,FALSE,pro,"Indeed it's not the fault of the animals,"
micro_b011,higher_dog_poo_fines,a3,FALSE,pro,"but once you step in it, their excrement seems to stick rather persistently to your soles."
micro_b012,school_uniforms,a1,FALSE,pro,"Some may find the idea of a school uniform anachronistic,"
micro_b012,school_uniforms,a2,FALSE,pro,or regard it as too much of an intervention into the leeway of students and parents to make decisions.
