topic,arg_A,arg_B,text_A,text_B,type_A,type_B,s2_score
EU_influence_on_political_events_in_Ukraine,a2,a3,"The developments in that conflict should not be left to former Cold War opponents alone,",for that course can only lead to escalation in some form.,premise,premise,0.919
MISSING_TOPIC,a2,a3,"Pricing pressures are just too high,",and his pool of customers is shrinking constantly.,premise,premise,1.0
MISSING_TOPIC,a2,a3,"as too much TV makes you stupid in the long run,",like your brother.,premise,premise,1.0
MISSING_TOPIC,a3,a4,as it only has mediocre resolution,and images in dark surroundings are often snowy.,premise,premise,1.0
MISSING_TOPIC,a3,a4,"as the car jack-knifes at higher speeds,",and surely you'll want to be speeding a lot with that beauty.,premise,premise,1.0
MISSING_TOPIC,a1,a2,"Large events that stir national or even international attention attract many visitors,",and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,premise,premise,0.9782
MISSING_TOPIC,a4,a5,"Because for one thing, their products will still sell in bad times,","and in addition, such a share is not as sensitive as those of other IT companies.",premise,premise,0.9723
MISSING_TOPIC,a2,a3,"According to the weather report it'll be perfect beach weather,","and one mustn't let this go to waste,",premise,premise,0.9718
MISSING_TOPIC,a2,a3,We both have the exact same two moles on our left arm,and you only get that with siblings.,premise,premise,0.964
MISSING_TOPIC,a2,a3,"the life expectancy is constantly rising,",and at the same time birth rates are declining.,premise,premise,0.9504
MISSING_TOPIC,a4,a5,"Besides, Jochen was given a parachute jump the other day as a gift,",and it mustn't be that this wannabe-adventurer has one up on me.,premise,premise,0.9329
MISSING_TOPIC,a2,a3,Never have there been longer queues at the advance ticket offices –,in Japan there was one exceeding 3.2km –,premise,premise,0.8455
MISSING_TOPIC,a4,a5,Voters have become more sceptical.,Too many promises have not been kept.,premise,premise,0.5665
allow_shops_to_open_on_holidays_and_sundays,a3,a4,"Thus smaller shops could benefit from the additional freedom,",as customers are on average more laid-back on Sunday.,premise,premise,1.0
allow_shops_to_open_on_holidays_and_sundays,a4,a5,"Thus Sundays should remain a day for getting together with family,",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,premise,premise,1.0
allow_shops_to_open_on_holidays_and_sundays,a3,a4,Also streets and shops would presumably be emptier,as not everyone would be open on the same day.,premise,premise,0.9455
allow_shops_to_open_on_holidays_and_sundays,a4,a5,"Plus, the state wants me to spend my money,",and how am I supposed to do that when the shops aren't open when I'm off work?,premise,premise,0.9202
allow_shops_to_open_on_holidays_and_sundays,a2,a3,"For you can go shopping 6 days a week,",as shops are open till 10pm on some days.,premise,premise,0.8938
buy_tax_evader_data_from_dubious_sources,a2,a3,"Besides, the purchase of such CDs is unnecessary today,","as, due to changed terms of business, many banks urge their customers to turn themselves in.",premise,premise,0.9691
buy_tax_evader_data_from_dubious_sources,a3,a4,"Having said that, state funds are often wasted on nonsensical investments,",so that this ideal appears unworthy of support in many ways.,premise,premise,0.9652
cap_rent_increases,a5,a6,"This helps the landlords,","as they can adjust their expenses through the increase,",premise,premise,1.0
cap_rent_increases,a5,a7,"This helps the landlords,","and also the tenants,",premise,premise,1.0
cap_rent_increases,a5,a8,"This helps the landlords,",as they can plan for a maximum rent increase.,premise,premise,1.0
cap_rent_increases,a6,a7,"as they can adjust their expenses through the increase,","and also the tenants,",premise,premise,1.0
cap_rent_increases,a6,a8,"as they can adjust their expenses through the increase,",as they can plan for a maximum rent increase.,premise,premise,1.0
cap_rent_increases,a7,a8,"and also the tenants,",as they can plan for a maximum rent increase.,premise,premise,1.0
cap_rent_increases,a9,a10,"That the landlords are then slightly restricted in the administration of their property is not a problem,",as they have more pull in the end anyway.,premise,premise,0.9595
health_insurance_cover_complementary_medicine,a3,a4,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",since there is a chance of recovery.,premise,premise,1.0
health_insurance_cover_complementary_medicine,a4,a5,Besides many general practitioners offer such counselling and treatments in parallel anyway -,and who would want to question their broad expertise?,premise,premise,1.0
health_insurance_cover_complementary_medicine,a4,a5,"This will do little damage to the pharmaceutical industry,",and conventional medicine will also hardly suffer.,premise,premise,1.0
health_insurance_cover_complementary_medicine,a1,a2,Complementary medicine includes treatments with proven health benefits in many areas,"which are often less costly than medication from conventional medicine, which are also paid for after all.",premise,premise,1.0
health_insurance_cover_complementary_medicine,a5,a6,"Also conventional medicine is in many cases not successful,","and, moreover, entails significant risks and side effects.",premise,premise,0.9621
health_insurance_cover_complementary_medicine,a1,a2,"From time immemorial humans have had complementary medicine,",and it has not generally been ineffective.,premise,premise,0.9353
health_insurance_cover_complementary_medicine,a3,a4,"Besides many practices in this field are not regulated professions,",which means that quacks and phonies can practice these occupations unknown to the patients.,premise,premise,0.9333
higher_dog_poo_fines,a2,a3,Stepping in dog dirt is gross and absolutely ruins your day,"due to the dirt, the stench and the often considerable effort to get rid of it.",premise,premise,1.0
higher_dog_poo_fines,a5,a6,"The city, especially the green spaces, should be kept tidy after all,",for they are there for our recreation.,premise,premise,1.0
introduce_capital_punishment,a2,a3,"For one thing, inviolable human dignity is anchored in our constitution,",and furthermore no one may have the right to adjudicate upon the death of another human being.,premise,premise,0.9685
keep_retirement_at_63,a4,a5,"For, due to the low birth rate, the proportion of the elderly population and with it pension costs are on the rise,","and furthermore, due to today's healthcare most people in many occupations are fitter for work in old age than before.",premise,premise,1.0
keep_retirement_at_63,a3,a4,The introductory phase of retirement at 63 would also be a particular challenge,as upon introduction many current employees of advanced age would immediately be eligible to retire.,premise,premise,0.9732
keep_retirement_at_63,a1,a2,"Germany's aging society is undergoing demographic change,",and the age of those who are physically and mentally fit is increasing steadily.,premise,premise,0.9636
keep_retirement_at_63,a2,a3,"as the population in Germany has, viewed demographically, a disproportionate number of old people,",and constantly declining birth rates are being recorded.,premise,premise,0.9264
make_video_games_olympic,a3,a4,"Various skills are promoted and required by different games,","including planning abilities, reaction time, and reasoning to name but a few.",premise,premise,1.0
