topic,arg_A,arg_B,text_A,text_B,type_A,type_B,sbert_score
EU_influence_on_political_events_in_Ukraine,a4,a3,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","Although Ukraine is a European country,",premise,objection,0.8016
EU_influence_on_political_events_in_Ukraine,a1,a4,The EU should exert influence on the political events in Ukraine.,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.",claim,premise,0.6743
EU_influence_on_political_events_in_Ukraine,a1,a3,The EU should exert influence on the political events in Ukraine.,"Although Ukraine is a European country,",claim,objection,0.6718
EU_influence_on_political_events_in_Ukraine,a6,a2,the EU should intervene right away.,the EU should not intervene in local politics.,claim,claim,0.6606
EU_influence_on_political_events_in_Ukraine,a1,a6,The EU should exert influence on the political events in Ukraine.,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers.",claim,objection,0.6176
EU_influence_on_political_events_in_Ukraine,a1,a6,The EU should exert influence on the political events in Ukraine.,the EU should intervene right away.,claim,claim,0.6051
MISSING_TOPIC,a3,a4,"Plus he comes to training way too rarely,",although he plays very well without training.,premise,objection,0.7073
MISSING_TOPIC,a3,a5,and at the same time birth rates are declining.,these short-term fluctuations in birth rates don't change the general trend at all.,premise,objection,0.6439
MISSING_TOPIC,a1,a3,Excessive consumption of meat is unhealthy.,We should thus all limit our consumption of meat rigorously.,premise,claim,0.6229
MISSING_TOPIC,a1,a2,"You should watch less television,","as too much TV makes you stupid in the long run,",claim,premise,0.6162
MISSING_TOPIC,a1,a2,Anti-virus software protects the users of a computer from dangers from the internet.,That's why everyone should have an anti-virus programme on his or her Windows machine.,premise,claim,0.6118
MISSING_TOPIC,a1,a2,Excessive consumption of meat is unhealthy.,"Furthermore, the production of meat is comparably resource-intensive.",premise,premise,0.6099
TXL_airport_remain_operational_after_BER_opening,a1,a6,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",claim,claim,0.6689
TXL_airport_remain_operational_after_BER_opening,a3,a4,The negative impact of air traffic however is considerable.,Air traffic is extremely environmentally unfriendly.,objection,premise,0.6151
allow_shops_to_open_on_holidays_and_sundays,a1,a1,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,claim,claim,0.9926
allow_shops_to_open_on_holidays_and_sundays,a6,a1,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,claim,claim,0.8914
allow_shops_to_open_on_holidays_and_sundays,a6,a1,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,claim,claim,0.8856
allow_shops_to_open_on_holidays_and_sundays,a5,a1,Opening on Sundays and holidays would therefore help both customers and shops.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,claim,claim,0.8139
allow_shops_to_open_on_holidays_and_sundays,a5,a1,Opening on Sundays and holidays would therefore help both customers and shops.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,claim,claim,0.8098
allow_shops_to_open_on_holidays_and_sundays,a5,a3,Opening on Sundays and holidays would therefore help both customers and shops.,Hence it is good when shops are not open on Sundays and public holidays.,claim,claim,0.7896
allow_shops_to_open_on_holidays_and_sundays,a5,a2,Opening on Sundays and holidays would therefore help both customers and shops.,"For in this way, Sunday shopping days would be better spread out through the year.",claim,premise,0.7661
allow_shops_to_open_on_holidays_and_sundays,a6,a6,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,"Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.7628
allow_shops_to_open_on_holidays_and_sundays,a1,a5,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",Opening on Sundays and holidays would therefore help both customers and shops.,objection,claim,0.76
allow_shops_to_open_on_holidays_and_sundays,a1,a4,"Well, I as an employee find it very practical to be able to shop at least on weekends.","People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",claim,objection,0.7599
allow_shops_to_open_on_holidays_and_sundays,a3,a6,Hence it is good when shops are not open on Sundays and public holidays.,"Furthermore, there's no need to keep shops open on Sundays.",claim,premise,0.7595
allow_shops_to_open_on_holidays_and_sundays,a1,a1,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",claim,objection,0.7491
allow_shops_to_open_on_holidays_and_sundays,a1,a4,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,","People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",objection,objection,0.7446
allow_shops_to_open_on_holidays_and_sundays,a1,a4,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",premise,objection,0.7431
allow_shops_to_open_on_holidays_and_sundays,a2,a4,"Sure, other people have to work in the shops on the weekend,","People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",objection,objection,0.7361
allow_shops_to_open_on_holidays_and_sundays,a6,a5,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Opening on Sundays and holidays would therefore help both customers and shops.,claim,claim,0.7346
allow_shops_to_open_on_holidays_and_sundays,a1,a2,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Sure, other people have to work in the shops on the weekend,",claim,objection,0.7321
allow_shops_to_open_on_holidays_and_sundays,a1,a4,It is quite clear that Sunday should remain a day of rest.,"Thus Sundays should remain a day for getting together with family,",claim,premise,0.7258
