topic,type,score,file_A,file_B,text_A,text_B
higher_dog_poo_fines,claim,0.2,micro_b002,micro_b007,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",That's why causing such obstacles must to be more urgently punished.
higher_dog_poo_fines,claim,0.34,micro_b002,micro_b011,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",For dog dirt left on the pavement dog owners should by all means pay a bit more.
higher_dog_poo_fines,claim,0.17,micro_b002,micro_b032,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",There should be a higher fine for dog dirt on the pavement.
higher_dog_poo_fines,claim,0.157,micro_b002,micro_b040,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",There should be much higher fines for dog dirt left on pavements.
higher_dog_poo_fines,claim,0.172,micro_b002,micro_b061,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
higher_dog_poo_fines,claim,0.203,micro_b002,micro_k008,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.","If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,claim,0.297,micro_b002,micro_k024,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.","Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.3,micro_b002,micro_k031,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners.",Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.186,micro_b007,micro_b011,That's why causing such obstacles must to be more urgently punished.,For dog dirt left on the pavement dog owners should by all means pay a bit more.
higher_dog_poo_fines,claim,0.324,micro_b007,micro_b032,That's why causing such obstacles must to be more urgently punished.,There should be a higher fine for dog dirt on the pavement.
higher_dog_poo_fines,claim,0.341,micro_b007,micro_b040,That's why causing such obstacles must to be more urgently punished.,There should be much higher fines for dog dirt left on pavements.
higher_dog_poo_fines,claim,0.292,micro_b007,micro_b061,That's why causing such obstacles must to be more urgently punished.,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
higher_dog_poo_fines,claim,0.271,micro_b007,micro_k008,That's why causing such obstacles must to be more urgently punished.,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,claim,0.281,micro_b007,micro_k024,That's why causing such obstacles must to be more urgently punished.,"Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.267,micro_b007,micro_k031,That's why causing such obstacles must to be more urgently punished.,Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.45,micro_b011,micro_b032,For dog dirt left on the pavement dog owners should by all means pay a bit more.,There should be a higher fine for dog dirt on the pavement.
higher_dog_poo_fines,claim,0.545,micro_b011,micro_b040,For dog dirt left on the pavement dog owners should by all means pay a bit more.,There should be much higher fines for dog dirt left on pavements.
higher_dog_poo_fines,claim,0.235,micro_b011,micro_b061,For dog dirt left on the pavement dog owners should by all means pay a bit more.,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
higher_dog_poo_fines,claim,0.194,micro_b011,micro_k008,For dog dirt left on the pavement dog owners should by all means pay a bit more.,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,claim,0.448,micro_b011,micro_k024,For dog dirt left on the pavement dog owners should by all means pay a bit more.,"Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.182,micro_b011,micro_k031,For dog dirt left on the pavement dog owners should by all means pay a bit more.,Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.789,micro_b032,micro_b040,There should be a higher fine for dog dirt on the pavement.,There should be much higher fines for dog dirt left on pavements.
higher_dog_poo_fines,claim,0.489,micro_b032,micro_b061,There should be a higher fine for dog dirt on the pavement.,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
higher_dog_poo_fines,claim,0.393,micro_b032,micro_k008,There should be a higher fine for dog dirt on the pavement.,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,claim,0.393,micro_b032,micro_k024,There should be a higher fine for dog dirt on the pavement.,"Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.222,micro_b032,micro_k031,There should be a higher fine for dog dirt on the pavement.,Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.449,micro_b040,micro_b061,There should be much higher fines for dog dirt left on pavements.,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.
higher_dog_poo_fines,claim,0.433,micro_b040,micro_k008,There should be much higher fines for dog dirt left on pavements.,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,claim,0.492,micro_b040,micro_k024,There should be much higher fines for dog dirt left on pavements.,"Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.258,micro_b040,micro_k031,There should be much higher fines for dog dirt left on pavements.,Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.418,micro_b061,micro_k008,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,"
higher_dog_poo_fines,claim,0.472,micro_b061,micro_k024,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,"Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.211,micro_b061,micro_k031,Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them.,Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.482,micro_k008,micro_k024,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,","Dog owners should pay higher fines for dog dirt left on pavements,"
higher_dog_poo_fines,claim,0.163,micro_k008,micro_k031,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,",Increasing penalties is therefore the right way.
higher_dog_poo_fines,claim,0.111,micro_k024,micro_k031,"Dog owners should pay higher fines for dog dirt left on pavements,",Increasing penalties is therefore the right way.
