topic,arg_A,arg_B,text_A,text_B,type_A,type_B,s2_score
allow_shops_to_open_on_holidays_and_sundays,a1,a1,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,claim,claim,0.9434
allow_shops_to_open_on_holidays_and_sundays,a6,a1,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,claim,claim,0.7398
allow_shops_to_open_on_holidays_and_sundays,a6,a1,For these reasons supermarkets and shopping centres should not be allowed to be open for business on arbitrary Sundays and holidays.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,claim,claim,0.7123
allow_shops_to_open_on_holidays_and_sundays,a5,a1,Opening on Sundays and holidays would therefore help both customers and shops.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,claim,claim,0.5807
allow_shops_to_open_on_holidays_and_sundays,a5,a1,Opening on Sundays and holidays would therefore help both customers and shops.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,claim,claim,0.5451
charge_tuition_fees,a1,a1,The universities in Germany should not under any circumstances charge tuition fees.,German universities should on no account charge tuition fees.,claim,claim,0.6818
charge_tuition_fees,a5,a1,Therefore universities should not charge tuition fees in Germany.,German universities should on no account charge tuition fees.,claim,claim,0.6709
charge_tuition_fees,a1,a5,Tuition fees should not generally be charged by universities.,Therefore universities should not charge tuition fees in Germany.,claim,claim,0.6287
charge_tuition_fees,a1,a1,Tuition fees should not generally be charged by universities.,German universities should on no account charge tuition fees.,claim,claim,0.6287
charge_tuition_fees,a1,a5,Tuition fees should not be charged in Germany.,Therefore universities should not charge tuition fees in Germany.,claim,claim,0.6267
charge_tuition_fees,a1,a5,The universities in Germany should not under any circumstances charge tuition fees.,Therefore universities should not charge tuition fees in Germany.,claim,claim,0.6066
charge_tuition_fees,a1,a1,The universities in Germany should not under any circumstances charge tuition fees.,Tuition fees should not generally be charged by universities.,claim,claim,0.5404
charge_tuition_fees,a1,a1,Tuition fees should not be charged in Germany.,German universities should on no account charge tuition fees.,claim,claim,0.54
charge_tuition_fees,a1,a1,Actually it would be justified if all German universities charged tuition fees.,German universities should on no account charge tuition fees.,claim,claim,0.5352
health_insurance_cover_complementary_medicine,a1,a5,Health insurance companies should naturally cover alternative medical treatments.,That's why the statutory health insurance companies should not cover such treatments.,claim,claim,0.6418
health_insurance_cover_complementary_medicine,a1,a1,Health insurance companies should naturally cover alternative medical treatments.,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,claim,claim,0.5581
health_insurance_cover_complementary_medicine,a1,a5,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,That's why the statutory health insurance companies should not cover such treatments.,claim,claim,0.5523
health_insurance_cover_complementary_medicine,a1,a1,Health insurance companies should not cover treatment in complementary medicine,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.,claim,claim,0.5226
higher_dog_poo_fines,a1,a1,There should be a higher fine for dog dirt on the pavement.,There should be much higher fines for dog dirt left on pavements.,claim,claim,0.79
higher_dog_poo_fines,a1,a1,For dog dirt left on the pavement dog owners should by all means pay a bit more.,There should be much higher fines for dog dirt left on pavements.,claim,claim,0.6075
higher_dog_poo_fines,a1,a1,"If there were higher fines for leaving dog dirt on pavements, there would presumably be less dog dirt,","Dog owners should pay higher fines for dog dirt left on pavements,",claim,claim,0.5006
introduce_capital_punishment,a3,a1,That's why Germany should not introduce capital punishment!,Germany should by no means introduce capital punishment.,claim,claim,0.7013
introduce_capital_punishment,a1,a3,The death penalty is a legal means that as such is not practicable in Germany.,That's why Germany should not introduce capital punishment!,claim,claim,0.5004
keep_retirement_at_63,a1,a1,"No, the retirement age should be raised to 65 again.",I am not of the opinion that the retirement age should be set at 63 years.,claim,claim,0.5646
over_the_counter_morning_after_pill,a1,a1,The morning-after pill ought to be available over-the-counter in pharmacies.,No one should have the possibility to pick up the morning-after pill over the counter at the pharmacy.,claim,claim,0.5647
school_uniforms,a1,a1,School uniforms should not be worn in our schools.,School uniforms should be introduced in our schools again.,claim,claim,0.7244
