filename,type,text
micro_b001.xml,claims,We Berliners should take the chance and become pioneers in waste separation!
micro_b002.xml,claims,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
micro_b003.xml,claims,Health insurance companies should not cover treatment in complementary medicine
micro_b004.xml,claims,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
micro_b005.xml,claims,Intelligence services must urgently be regulated more tightly by parliament;
micro_b006.xml,claims,The death penalty is a legal means that as such is not practicable in Germany.
micro_b007.xml,claims,That's why causing such obstacles must to be more urgently punished.
micro_b008.xml,claims,That's why a visit to the doctor and professional advice should remain mandatory.
micro_b009.xml,claims,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
micro_b010.xml,claims,"Alternative treatments should be subsidized in the same way as conventional treatments,"
micro_b011.xml,claims,For dog dirt left on the pavement dog owners should by all means pay a bit more.
micro_b012.xml,claims,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
micro_b013.xml,claims,Health insurance companies should naturally cover alternative medical treatments.
micro_b014.xml,claims,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
micro_b015.xml,claims,"Well, I as an employee find it very practical to be able to shop at least on weekends."
micro_b016.xml,claims,It would therefore be wise to adjust the required effort for final theses accordingly.
micro_b017.xml,claims,Rent prices should be limited by a cap when there's a change of tenant.
micro_b018.xml,claims,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
micro_b019.xml,claims,Tax data that are not made available for free should therefore not be acquired by the state.
micro_b020.xml,claims,computer games should also not be recognized as Olympic events.
micro_b021.xml,claims,Tuition fees should not be charged in Germany.
micro_b022.xml,claims,"No, the retirement age should be raised to 65 again."
micro_b023.xml,claims,That's why Germany should not introduce capital punishment!
micro_b024.xml,claims,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
micro_b025.xml,claims,A reduction in the amount of chemically produced medication per person is most certainly desirable.
